time_sec	time_nanosec	control_action_0	control_action_1	control_action_2	control_action_3
1611145096	237680403	-0.025	-0.075	0.3	-0.034875
1611145096	244424243	-0.025	-0.075	0.3	-0.034875
1611145096	252741819	-0.025	-0.075	0.3	-0.034875
1611145096	262484975	-0.025	0.025	0.3	-0.034875
1611145096	272341962	-0.025	-0.025	0.4	-0.034875
1611145096	282232658	-0.025	-0.05	0.35	-0.034875
1611145096	292210611	-0.025	-0.05	0.325	-0.034875
1611145096	302338588	-0.025	-0.05	0.325	-0.034875
1611145096	312323020	-0.025	-0.05	0.325	-0.034875
1611145096	322198742	-0.025	-0.05	0.325	-0.034875
1611145096	332351522	-0.025	-0.05	0.325	-0.034875
1611145096	342351985	-0.025	-0.05	0.325	-0.034875
1611145096	352323534	-0.025	-0.05	0.325	-0.034875
1611145096	362366298	-0.025	-0.05	0.325	-0.034875
1611145096	372254619	-0.025	-0.05	0.325	-0.034875
1611145096	382348953	-0.025	-0.05	0.325	-0.034875
1611145096	392176578	-0.025	-0.05	0.325	-0.034875
1611145096	402494322	-0.025	-0.05	0.325	-0.034875
1611145096	412480293	-0.025	-0.05	0.325	-0.034875
1611145096	422312594	-0.025	-0.05	0.325	-0.034875
1611145096	432344333	-0.025	-0.05	0.325	-0.034875
1611145096	442243554	-0.025	-0.05	0.325	-0.034875
1611145096	452219884	-0.025	-0.05	0.325	-0.034875
1611145096	462215482	-0.025	-0.05	0.325	-0.034875
1611145096	472238498	-0.025	-0.05	0.325	-0.034875
1611145096	482313731	-0.025	-0.05	0.325	-0.034875
1611145096	492182922	-0.025	-0.05	0.325	-0.034875
1611145096	502249769	-0.025	-0.05	0.325	-0.034875
1611145096	512337436	-0.025	-0.05	0.325	-0.034875
1611145096	522291293	-0.025	-0.05	0.325	-0.034875
1611145096	532305828	-0.025	-0.05	0.325	-0.034875
1611145096	542347508	-0.025	-0.05	0.325	-0.034875
1611145096	552236761	-0.025	-0.05	0.325	-0.034875
1611145096	562342240	-0.025	-0.05	0.325	-0.034875
1611145096	572292713	-0.025	-0.05	0.325	-0.034875
1611145096	582215704	-0.025	-0.05	0.325	-0.034875
1611145096	592228847	-0.025	-0.05	0.325	-0.034875
1611145096	602229723	-0.025	-0.05	0.325	-0.034875
1611145096	612417090	-0.025	-0.05	0.325	-0.034875
1611145096	622363859	-0.025	-0.05	0.325	-0.034875
1611145096	632265710	-0.025	-0.05	0.325	-0.034875
1611145096	642393445	-0.025	-0.05	0.325	-0.034875
1611145096	652264206	-0.025	-0.05	0.325	-0.034875
1611145096	662269134	-0.025	-0.05	0.325	-0.034875
