time_sec	time_nanosec	ang_ots_0	ang_ots_1	ang_ots_2	ang_ots_3	ang_ots_4	ang_ots_5
1616424280	812886586	77.2412	57.4358	53.1861	45.323	49.5727	4.24969
1616424280	822869384	77.2384	57.4356	53.1862	45.326	49.5753	4.24934
1616424280	832702538	77.2411	57.4333	53.1841	45.3256	49.5748	4.24912
1616424280	842871703	77.2524	57.4304	53.182	45.3172	49.5655	4.24836
1616424280	852861726	77.2553	57.4284	53.1806	45.3164	49.5641	4.24778
1616424280	863127822	77.2504	57.4316	53.1833	45.318	49.5663	4.24829
1616424280	873708447	77.2524	57.4295	53.1815	45.3181	49.5661	4.24799
1616424280	883858675	77.2475	57.4328	53.184	45.3197	49.5685	4.2488
1616424280	893827065	77.2476	57.4401	53.1902	45.3123	49.5622	4.24994
1616424280	903899760	77.2438	57.4394	53.1896	45.3168	49.5666	4.24984
1616424280	914228061	77.2377	57.4459	53.1953	45.3163	49.567	4.25062
1616424280	924357284	77.2348	57.4514	53.1997	45.3138	49.5655	4.25166
1616424280	934551263	77.2353	57.4504	53.1986	45.3143	49.5661	4.25176
1616424280	944491707	77.2344	57.4512	53.1995	45.3144	49.5661	4.2517
1616424280	954286033	77.2218	57.4552	53.2024	45.323	49.5757	4.25275
1616424280	964242868	77.2375	57.4493	53.1978	45.3131	49.5647	4.25155
1616424280	974755313	77.2352	57.4508	53.1989	45.3141	49.5659	4.25187
1616424280	984503929	77.2318	57.4456	53.1951	45.3227	49.5731	4.25045
1616424280	994608559	77.2274	57.4453	53.1941	45.3273	49.5785	4.25112
1616424281	4600932	77.2274	57.449	53.1976	45.3236	49.575	4.25137
1616424281	14400385	77.2311	57.4394	53.1889	45.3295	49.58	4.25042
1616424281	24334511	77.2331	57.4409	53.1905	45.326	49.5764	4.2504
1616424281	34292813	77.2417	57.4434	53.1933	45.3149	49.565	4.25013
1616424281	44382877	77.2487	57.4299	53.1819	45.3214	49.5694	4.24798
1616424281	54340585	77.2492	57.434	53.1854	45.3168	49.5654	4.24867
1616424281	64494135	77.2512	57.4301	53.1821	45.3187	49.5667	4.24802
1616424281	74317346	77.2494	57.4326	53.1842	45.3179	49.5663	4.24838
1616424281	84297829	77.2477	57.4334	53.1847	45.3189	49.5676	4.24873
1616424281	94571624	77.2472	57.4407	53.1907	45.3122	49.5621	4.24995
1616424281	104241676	77.2452	57.4389	53.1891	45.3158	49.5657	4.24983
1616424281	114189848	77.2298	57.444	53.1933	45.3262	49.577	4.25077
1616424281	124608179	77.2404	57.4439	53.1935	45.3158	49.5661	4.25034
1616424281	134374779	77.2412	57.4475	53.1963	45.3113	49.5625	4.25118
1616424281	144246692	77.2322	57.4465	53.1952	45.3212	49.5725	4.2513
1616424281	154414645	77.2281	57.4476	53.1961	45.3243	49.5758	4.25145
1616424281	164557368	77.2347	57.4454	53.1946	45.3199	49.5706	4.25076
1616424281	174383753	77.2322	57.4515	53.1998	45.3163	49.568	4.25168
