time_sec	time_nanosec	q_grav_0	q_grav_1	q_grav_2	q_grav_3
1612889875	790095271	12.7416	19.3688	-35.1552	150.546
1612889875	800476494	12.7418	19.3686	-35.1546	150.545
1612889875	809951718	12.7413	19.368	-35.1553	150.548
1612889875	819963351	12.7416	19.3679	-35.1545	150.546
1612889875	830322037	12.7411	19.3673	-35.1552	150.548
1612889875	840578513	12.7414	19.3673	-35.1543	150.547
1612889875	849986926	12.7411	19.3668	-35.1547	150.548
1612889875	859925864	12.7412	19.3666	-35.1541	150.548
1612889875	870228706	12.7406	19.3659	-35.1549	150.55
1612889875	880271832	12.741	19.3659	-35.154	150.548
1612889875	890191595	12.7404	19.3652	-35.1547	150.55
1612889875	899925939	12.7407	19.3652	-35.1538	150.549
1612889875	910215649	12.7402	19.3645	-35.1545	150.551
1612889875	919972049	12.7405	19.3644	-35.1537	150.55
1612889875	929930707	12.74	19.3638	-35.1543	150.552
1612889875	940027127	12.7403	19.3637	-35.1535	150.551
1612889875	949952648	12.7397	19.3631	-35.1542	150.553
1612889875	959953637	12.7401	19.363	-35.1533	150.551
1612889875	969943178	12.7395	19.3624	-35.154	150.553
1612889875	980116246	12.7398	19.3623	-35.1531	150.552
1612889875	989959312	12.7393	19.3617	-35.1538	150.554
1612889875	999952683	12.7396	19.3616	-35.1529	150.553
1612889876	10179789	12.739	19.361	-35.1536	150.555
1612889876	19987200	12.7393	19.3609	-35.1528	150.554
1612889876	30112470	12.7388	19.3603	-35.1534	150.556
1612889876	40156971	12.7391	19.3602	-35.1526	150.554
1612889876	49902029	12.7385	19.3596	-35.1533	150.556
1612889876	59954461	12.7389	19.3596	-35.1524	150.555
1612889876	69933003	12.7383	19.3589	-35.1531	150.557
1612889876	79918546	12.7386	19.3589	-35.1522	150.556
1612889876	89987370	12.7381	19.3583	-35.1529	150.558
1612889876	99946698	12.7384	19.3582	-35.1521	150.556
1612889876	109979172	12.738	19.3578	-35.1525	150.558
1612889876	119958974	12.7381	19.3576	-35.1519	150.557
1612889876	129945700	12.7376	19.357	-35.1526	150.559
1612889876	139916687	12.7379	19.357	-35.1517	150.558
1612889876	149854786	12.7373	19.3564	-35.1524	150.56
1612889876	159929936	12.7376	19.3564	-35.1516	150.559
1612889876	169987993	12.7371	19.3558	-35.1523	150.561
