time_sec	time_nanosec	x_mocap_0	x_mocap_1	x_mocap_2	x_mocap_3
1615805916	104897424	0.0272927	0.612176	0.124114	-0.22025
1615805916	114924815	0.0272376	0.612135	0.123986	-0.220239
1615805916	124999950	0.0272266	0.612139	0.124025	-0.220195
1615805916	135120197	0.0272266	0.612139	0.124025	-0.220195
1615805916	144810570	0.0272934	0.61216	0.124039	-0.22025
1615805916	154881951	0.0272189	0.612124	0.123965	-0.220265
1615805916	164865815	0.0272189	0.612124	0.123965	-0.220265
1615805916	174845997	0.0272544	0.612147	0.124057	-0.220288
1615805916	184896175	0.0272415	0.612154	0.124057	-0.220233
1615805916	194800964	0.0272204	0.612138	0.124037	-0.220258
1615805916	204869282	0.0271877	0.612112	0.123949	-0.220352
1615805916	214916963	0.0272735	0.612161	0.12405	-0.220321
1615805916	224863149	0.0272363	0.612138	0.124033	-0.220335
1615805916	234980776	0.0272379	0.612126	0.124006	-0.220341
1615805916	244876006	0.0272156	0.612131	0.124001	-0.220283
1615805916	255218954	0.0272472	0.612129	0.123991	-0.220281
1615805916	265511187	0.0272565	0.612127	0.12398	-0.220305
1615805916	275133814	0.0272297	0.612128	0.123975	-0.220258
1615805916	285260656	0.0272404	0.612118	0.123908	-0.220259
1615805916	295366579	0.0272203	0.612125	0.123928	-0.220307
1615805916	305251949	0.0272524	0.612118	0.123901	-0.220285
1615805916	315235793	0.0272165	0.612105	0.123873	-0.220315
1615805916	325426022	0.0272342	0.612106	0.123882	-0.220302
1615805916	335606155	0.0272357	0.612114	0.123909	-0.22029
1615805916	345705987	0.0272317	0.612113	0.123901	-0.220361
1615805916	355673889	0.0271993	0.612091	0.123843	-0.220311
1615805916	365973046	0.0271949	0.612081	0.123842	-0.220318
1615805916	375659129	0.0272426	0.612108	0.1239	-0.220338
1615805916	385625912	0.0272213	0.612104	0.123881	-0.220344
1615805916	395732582	0.0272256	0.612094	0.123876	-0.220299
1615805916	405563352	0.0272432	0.612105	0.123865	-0.220343
1615805916	415556879	0.0272217	0.612098	0.123863	-0.220369
1615805916	425590650	0.02724	0.612109	0.123856	-0.220355
1615805916	435700770	0.0272408	0.612107	0.123856	-0.220339
1615805916	445426505	0.0272856	0.612136	0.12393	-0.220369
1615805916	455465536	0.0272654	0.612115	0.123907	-0.220386
1615805916	466239802	0.0272649	0.612121	0.123889	-0.220336
1615805916	475631487	0.0272458	0.612105	0.12385	-0.220374
1615805916	485688303	0.027246	0.612097	0.123844	-0.220342
1615805916	495710674	0.0272719	0.612124	0.123864	-0.220335
1615805916	505535611	0.0272313	0.612096	0.123866	-0.220323
1615805916	515734858	0.027212	0.612085	0.123829	-0.22039
1615805916	525419558	0.0272358	0.612092	0.123845	-0.220342
1615805916	535573052	0.0272197	0.612091	0.12382	-0.220349
1615805916	545583529	0.0272119	0.612091	0.123832	-0.2204
1615805916	555560371	0.0272311	0.612105	0.123922	-0.220404
1615805916	565770085	0.0272593	0.612112	0.123921	-0.220392
1615805916	575633604	0.0272338	0.612115	0.123896	-0.220343
1615805916	585599848	0.0272055	0.612077	0.123804	-0.220454
