time_sec	time_nanosec	q_grav_0	q_grav_1	q_grav_2	q_grav_3
1608147966	253465878	7.68533	5.59761	-33.9171	167.769
1608147966	263897107	7.68533	5.59761	-33.9171	167.769
1608147966	273324602	7.68533	5.59761	-33.9171	167.769
1608147966	283400599	7.68533	5.59761	-33.9171	167.769
1608147966	293555555	7.68533	5.59761	-33.9171	167.769
1608147966	303068018	7.68533	5.59761	-33.9171	167.769
1608147966	313543879	7.68533	5.59761	-33.9171	167.769
1608147966	322998872	7.68533	5.59761	-33.9171	167.769
1608147966	333389061	7.68533	5.59761	-33.9171	167.769
1608147966	343349877	7.68533	5.59761	-33.9171	167.769
1608147966	353337508	7.68533	5.59761	-33.9171	167.769
1608147966	363760359	7.68533	5.59761	-33.9171	167.769
1608147966	373310319	7.68533	5.59761	-33.9171	167.769
1608147966	383196973	7.68533	5.59761	-33.9171	167.769
1608147966	393432082	7.68533	5.59761	-33.9171	167.769
1608147966	403417536	7.68533	5.59761	-33.9171	167.769
1608147966	413215970	7.68533	5.59761	-33.9171	167.769
1608147966	423316649	7.68533	5.59761	-33.9171	167.769
1608147966	433269587	7.68533	5.59761	-33.9171	167.769
1608147966	443264542	7.68533	5.59761	-33.9171	167.769
1608147966	453322270	7.68533	5.59761	-33.9171	167.769
1608147966	463391923	7.68533	5.59761	-33.9171	167.769
1608147966	473826192	7.68533	5.59761	-33.9171	167.769
1608147966	482964491	7.68533	5.59761	-33.9171	167.769
1608147966	493386478	7.68533	5.59761	-33.9171	167.769
1608147966	502967094	7.68533	5.59761	-33.9171	167.769
1608147966	512945679	7.68533	5.59761	-33.9171	167.769
1608147966	523092638	7.68533	5.59761	-33.9171	167.769
1608147966	533968072	7.68533	5.59761	-33.9171	167.769
1608147966	543560477	7.68533	5.59761	-33.9171	167.769
1608147966	553506100	7.68533	5.59761	-33.9171	167.769
1608147966	563241846	7.68533	5.59761	-33.9171	167.769
1608147966	573322740	7.68533	5.59761	-33.9171	167.769
1608147966	583437089	7.68533	5.59761	-33.9171	167.769
1608147966	593183766	7.68533	5.59761	-33.9171	167.769
1608147966	603028075	7.68533	5.59761	-33.9171	167.769
1608147966	612987494	7.68533	5.59761	-33.9171	167.769
1608147966	623621542	7.68533	5.59761	-33.9171	167.769
1608147966	633854746	7.68533	5.59761	-33.9171	167.769
1608147966	643646113	7.68533	5.59761	-33.9171	167.769
1608147966	653455058	7.68533	5.59761	-33.9171	167.769
1608147966	663582104	7.68533	5.59761	-33.9171	167.769
1608147966	673571573	7.68533	5.59761	-33.9171	167.769
1608147966	683617213	7.68533	5.59761	-33.9171	167.769
1608147966	693508688	7.68533	5.59761	-33.9171	167.769
1608147966	703499613	7.68533	5.59761	-33.9171	167.769
1608147966	713441090	7.68533	5.59761	-33.9171	167.769
1608147966	723305115	7.68533	5.59761	-33.9171	167.769
1608147966	733746082	7.68533	5.59761	-33.9171	167.769
1608147966	743725543	7.68533	5.59761	-33.9171	167.769
1608147966	752171909	7.68533	5.59761	-33.9171	167.769
1608147966	761849573	7.68533	5.59761	-33.9171	167.769
1608147966	771772048	7.68533	5.59761	-33.9171	167.769
1608147966	781912084	7.68533	5.59761	-33.9171	167.769
1608147966	791871783	7.68533	5.59761	-33.9171	167.769
1608147966	801696186	7.68533	5.59761	-33.9171	167.769
1608147966	811720847	7.68533	5.59761	-33.9171	167.769
1608147966	822154123	7.68533	5.59761	-33.9171	167.769
1608147966	831837822	7.68533	5.59761	-33.9171	167.769
1608147966	842070439	7.68533	5.59761	-33.9171	167.769
1608147966	851998176	7.68533	5.59761	-33.9171	167.769
1608147966	861998476	7.68533	5.59761	-33.9171	167.769
1608147966	871874486	7.68533	5.59761	-33.9171	167.769
1608147966	881607088	7.68533	5.59761	-33.9171	167.769
1608147966	891966824	7.68533	5.59761	-33.9171	167.769
1608147966	901813933	7.68533	5.59761	-33.9171	167.769
1608147966	911556859	7.68533	5.59761	-33.9171	167.769
1608147966	921770014	7.68533	5.59761	-33.9171	167.769
1608147966	932003378	7.68533	5.59761	-33.9171	167.769
1608147966	941965111	7.68533	5.59761	-33.9171	167.769
