time_sec	time_nanosec	x_mocap_0	x_mocap_1	x_mocap_2	x_mocap_3
1615906054	745217111	0.0195279	0.647247	0.0509696	0.0551605
1615906054	755134110	0.0196841	0.647355	0.0511677	0.0550656
1615906054	765128637	0.0195487	0.647294	0.0510917	0.0550245
1615906054	775211726	0.0196736	0.647357	0.0511966	0.0551526
1615906054	785211929	0.0196526	0.64735	0.0511658	0.0551652
1615906054	795165638	0.0195579	0.647302	0.051087	0.0550101
1615906054	805131673	0.0196783	0.647364	0.0512238	0.0551429
1615906054	815161483	0.0196895	0.647363	0.0512147	0.0550799
1615906054	825192555	0.0196926	0.64738	0.0512289	0.0551036
1615906054	835241654	0.0196208	0.647327	0.0511329	0.0550917
1615906054	845190402	0.0196637	0.647354	0.0511945	0.0550883
1615906054	855280657	0.0196899	0.647368	0.0512324	0.0550543
1615906054	865372301	0.0196542	0.647348	0.051167	0.0551344
1615906054	875449269	0.0196766	0.647357	0.0511673	0.0550927
1615906054	885649554	0.0196734	0.647356	0.0512095	0.0550004
1615906054	895595604	0.0196721	0.647361	0.0512003	0.0551814
1615906054	905808084	0.0195271	0.647274	0.0510238	0.0549578
1615906054	915864217	0.0196927	0.647358	0.0511923	0.0550524
1615906054	925846061	0.0196683	0.647363	0.0512108	0.0551068
1615906054	936123493	0.0196685	0.647367	0.0512275	0.0551456
1615906054	945840815	0.0196468	0.647352	0.0511751	0.055114
1615906054	955847360	0.019704	0.647361	0.051221	0.0550723
1615906054	966009156	0.0197134	0.647375	0.0512651	0.0550664
1615906054	975913993	0.0196632	0.64735	0.0511721	0.0551186
1615906054	985973011	0.0196243	0.647338	0.0511467	0.0551282
1615906054	995710192	0.0196576	0.647341	0.0511698	0.0549894
1615906055	6140806	0.0196612	0.647351	0.0511588	0.0551639
1615906055	15824833	0.0196773	0.647363	0.0512122	0.05502
1615906055	25892814	0.0196813	0.64735	0.0511635	0.055011
1615906055	35790990	0.0195545	0.647297	0.0510738	0.0550251
1615906055	45719644	0.0195739	0.647301	0.051089	0.0549285
1615906055	55870418	0.0196818	0.64736	0.0512109	0.0550425
1615906055	66016443	0.0195472	0.64729	0.0510699	0.0549784
1615906055	75953521	0.0196434	0.647349	0.0511631	0.0551404
1615906055	86129589	0.0196905	0.647355	0.0512034	0.0550635
1615906055	95910873	0.0196972	0.647372	0.0512201	0.0550839
1615906055	105926981	0.0196589	0.647359	0.0511996	0.0550869
1615906055	116043151	0.0196766	0.647355	0.0511911	0.0551506
1615906055	126023648	0.0196566	0.647349	0.051174	0.0551476
1615906055	136110469	0.0196938	0.647374	0.0512309	0.055033
1615906055	146070819	0.019525	0.647266	0.0510052	0.0549701
1615906055	156051329	0.0195025	0.647264	0.0509949	0.0549743
1615906055	165602300	0.0196639	0.647345	0.0511881	0.0551526
1615906055	175453855	0.0196756	0.647369	0.0512131	0.0551664
