time_sec	time_nanosec	x_coord_0	x_coord_1	x_coord_2	x_coord_3
1608054794	631794276	0.0691897	0.6484	0.0787149	-0.135789
1608054794	641558083	0.0691905	0.6486	0.0787147	-0.135784
1608054794	651766068	0.069191	0.6488	0.0787141	-0.135787
1608054794	661615850	0.0691891	0.649	0.0787136	-0.135784
1608054794	671584014	0.0691904	0.6492	0.0787154	-0.135787
1608054794	681624184	0.0691904	0.6494	0.0787128	-0.135782
1608054794	691942383	0.0691891	0.6496	0.0787144	-0.135787
1608054794	701816934	0.0691898	0.6498	0.0787142	-0.135782
1608054794	711744878	0.0691904	0.65	0.0787136	-0.135784
1608054794	721961366	0.0691906	0.6502	0.0787163	-0.135793
1608054794	731858905	0.0691906	0.6504	0.0787137	-0.135787
1608054794	741889710	0.0691892	0.650599	0.0787153	-0.135792
1608054794	751870635	0.0691899	0.6508	0.0787151	-0.135786
1608054794	761851685	0.0691904	0.651	0.0787145	-0.135788
1608054794	771701626	0.0691901	0.6512	0.0787152	-0.135788
1608054794	781932772	0.0691906	0.6514	0.0787146	-0.13579
1608054794	791896533	0.0691905	0.6516	0.0787121	-0.135783
1608054794	801948242	0.0691898	0.6518	0.0787161	-0.135789
1608054794	811968836	0.0691897	0.652	0.0787135	-0.135782
1608054794	821566654	0.0691899	0.6522	0.0787162	-0.13579
1608054794	832012054	0.0691898	0.6524	0.0787137	-0.135783
1608054794	841872266	0.06919	0.6526	0.0787164	-0.135791
1608054794	851838982	0.0691899	0.6528	0.0787139	-0.135784
1608054794	861891331	0.0691893	0.653	0.0787142	-0.135791
1608054794	871807699	0.06919	0.6532	0.078714	-0.135784
1608054794	881997386	0.0691904	0.6534	0.0787135	-0.135785
1608054794	891839436	0.06919	0.6536	0.0787142	-0.135785
1608054794	902417692	0.0691904	0.6538	0.0787137	-0.135785
1608054794	911671254	0.06919	0.654	0.0787145	-0.135785
1608054794	921707494	0.0691904	0.6542	0.0787139	-0.135785
1608054794	931586590	0.06919	0.6544	0.0787147	-0.135784
1608054794	941657852	0.0691904	0.6546	0.0787142	-0.135785
1608054794	952026896	0.0691899	0.6548	0.0787149	-0.135784
1608054794	962534095	0.0691893	0.655	0.0787153	-0.13579
1608054794	971697816	0.0691899	0.6552	0.0787152	-0.135783
1608054794	981486241	0.0691892	0.6554	0.0787155	-0.135789
1608054794	991783230	0.0691899	0.6556	0.0787117	-0.135783
1608054795	1698593	0.06919	0.6558	0.0787145	-0.135789
1608054795	11885210	0.0691898	0.656	0.078712	-0.135782
1608054795	21720666	0.0691899	0.6562	0.0787148	-0.135788
1608054795	31688674	0.0691897	0.6564	0.0787123	-0.13578
1608054795	41938662	0.0691897	0.6566	0.0787151	-0.135786
1608054795	51599514	0.0691893	0.6568	0.0787122	-0.135786
1608054795	61455825	0.0691904	0.657	0.0787141	-0.135786
1608054795	71712977	0.0691899	0.6572	0.0787149	-0.135784
1608054795	82048486	0.0691902	0.6574	0.0787144	-0.135784
1608054795	91931873	0.0691906	0.6576	0.0787139	-0.135784
1608054795	101872490	0.0691899	0.6578	0.0787143	-0.135789
1608054795	112213773	0.0691904	0.658	0.0787143	-0.135782
1608054795	121593311	0.0691896	0.6582	0.0787147	-0.135786
1608054795	131690757	0.06919	0.6584	0.0787142	-0.135786
1608054795	141749612	0.0691902	0.6586	0.0787137	-0.135786
1608054795	151627339	0.0691897	0.6588	0.0787146	-0.135783
1608054795	161786704	0.0691898	0.659	0.0787137	-0.13579
1608054795	172171518	0.0691903	0.6592	0.0787137	-0.135782
1608054795	181766318	0.0691895	0.6594	0.0787141	-0.135787
1608054795	191698024	0.0691898	0.6596	0.0787136	-0.135786
1608054795	202134858	0.0691897	0.6598	0.0787164	-0.135791
1608054795	211871976	0.0691903	0.66	0.0787127	-0.135784
1608054795	221860833	0.0691903	0.6602	0.0787156	-0.135789
1608054795	231723257	0.0691889	0.6604	0.078714	-0.135786
1608054795	241694426	0.0691908	0.6606	0.0787147	-0.135787
1608054795	251988997	0.0691894	0.6608	0.0787132	-0.135783
1608054795	261763214	0.0691902	0.661	0.0787147	-0.13579
1608054795	271555873	0.0691896	0.6612	0.0787156	-0.135787
1608054795	281608453	0.0691907	0.6614	0.0787139	-0.135788
1608054795	291756088	0.06919	0.6616	0.0787147	-0.135784
1608054795	301929913	0.0691901	0.6618	0.0787139	-0.13579
1608054795	311961864	0.0691894	0.662	0.0787148	-0.135787
1608054795	321820587	0.0691896	0.6622	0.0787144	-0.135786
1608054795	331855645	0.0691898	0.6624	0.078714	-0.135784
1608054795	341813669	0.06919	0.6626	0.0787136	-0.135782
1608054795	351656345	0.0691908	0.6628	0.0787151	-0.135789
1608054795	361867445	0.0691893	0.663	0.0787136	-0.135784
1608054795	372013158	0.0691901	0.6632	0.0787152	-0.13579
1608054795	382210310	0.0691896	0.6634	0.0787129	-0.13578
1608054795	391915348	0.0691904	0.6636	0.0787144	-0.135786
1608054795	401946326	0.0691906	0.6638	0.078714	-0.135785
1608054795	411797488	0.0691897	0.664	0.0787146	-0.135788
1608054795	421466826	0.0691898	0.6642	0.0787142	-0.135786
1608054795	431784050	0.0691906	0.6644	0.0787158	-0.135792
1608054795	441725396	0.069189	0.6646	0.0787143	-0.135787
1608054795	451961769	0.0691898	0.6648	0.0787159	-0.135793
1608054795	461889416	0.069191	0.665	0.0787147	-0.135785
1608054795	472003652	0.0691903	0.665201	0.0787119	-0.135782
1608054795	481525007	0.0691901	0.6654	0.0787148	-0.135785
1608054795	491454247	0.0691903	0.6656	0.0787145	-0.135783
1608054795	501578843	0.0691902	0.6658	0.0787137	-0.135788
1608054795	511496691	0.0691903	0.666	0.0787133	-0.135785
1608054795	521388384	0.0691901	0.6662	0.0787163	-0.135788
1608054795	531409371	0.0691894	0.6664	0.0787135	-0.135785
1608054795	541401946	0.0691901	0.6666	0.0787152	-0.13579
1608054795	551434598	0.0691902	0.6668	0.0787148	-0.135787
1608054795	561189620	0.0691901	0.667	0.078714	-0.135792
1608054795	571585588	0.0691892	0.6672	0.078715	-0.135787
1608054795	581599973	0.0691893	0.6674	0.0787147	-0.135784
1608054795	591638768	0.0691892	0.6676	0.0787139	-0.135788
1608054795	601535199	0.0691892	0.6678	0.0787136	-0.135785
1608054795	611263808	0.0691898	0.668	0.0787153	-0.13579
1608054795	621804961	0.0691899	0.6682	0.078715	-0.135786
1608054795	631643691	0.0691897	0.6684	0.0787142	-0.13579
1608054795	641881118	0.0691898	0.6686	0.0787139	-0.135787
1608054795	651922722	0.0691904	0.6688	0.0787156	-0.135792
1608054795	661727379	0.0691896	0.669	0.0787129	-0.135787
1608054795	671650891	0.0691902	0.6692	0.0787146	-0.135792
1608054795	681755370	0.0691903	0.6694	0.0787143	-0.135788
1608054795	692005447	0.0691903	0.6696	0.078714	-0.135785
1608054795	701919564	0.0691901	0.6698	0.0787133	-0.135788
1608054795	711867357	0.0691901	0.67	0.078713	-0.135784
1608054795	721569309	0.0691901	0.67	0.078713	-0.135784
1608054795	731564311	0.0691901	0.67	0.078713	-0.135784
1608054795	741520790	0.0691901	0.67	0.078713	-0.135784
1608054795	751563285	0.0691901	0.67	0.078713	-0.135784
1608054795	761546683	0.0691901	0.67	0.078713	-0.135784
1608054795	771540127	0.0691901	0.67	0.078713	-0.135784
1608054795	781748965	0.0691901	0.67	0.078713	-0.135784
1608054795	791848522	0.0691901	0.67	0.078713	-0.135784
1608054795	801807699	0.0691901	0.67	0.078713	-0.135784
1608054795	811542984	0.0691901	0.67	0.078713	-0.135784
1608054795	821982280	0.0691901	0.67	0.078713	-0.135784
1608054795	831741068	0.0691901	0.67	0.078713	-0.135784
1608054795	841540741	0.0691901	0.67	0.078713	-0.135784
1608054795	851699177	0.0691901	0.67	0.078713	-0.135784
1608054795	861580123	0.0691901	0.67	0.078713	-0.135784
1608054795	871551915	0.0691901	0.67	0.078713	-0.135784
1608054795	881625575	0.0691901	0.67	0.078713	-0.135784
1608054795	891982842	0.0691901	0.67	0.078713	-0.135784
1608054795	901553673	0.0691901	0.67	0.078713	-0.135784
1608054795	911772108	0.0691901	0.67	0.078713	-0.135784
1608054795	921599516	0.0691901	0.67	0.078713	-0.135784
1608054795	931569928	0.0691901	0.67	0.078713	-0.135784
1608054795	941702367	0.0691901	0.67	0.078713	-0.135784
1608054795	951467587	0.0691901	0.67	0.078713	-0.135784
1608054795	961728492	0.0691901	0.67	0.078713	-0.135784
1608054795	971966903	0.0691901	0.67	0.078713	-0.135784
1608054795	981273529	0.0691901	0.67	0.078713	-0.135784
1608054795	991332738	0.0691901	0.67	0.078713	-0.135784
1608054796	1416784	0.0691901	0.67	0.078713	-0.135784
1608054796	11313641	0.0691901	0.67	0.078713	-0.135784
1608054796	21351027	0.0691901	0.67	0.078713	-0.135784
1608054796	31634798	0.0691901	0.67	0.078713	-0.135784
1608054796	41596158	0.0691901	0.67	0.078713	-0.135784
1608054796	51277547	0.0691901	0.67	0.078713	-0.135784
1608054796	61218334	0.0691901	0.67	0.078713	-0.135784
1608054796	71246982	0.0691901	0.67	0.078713	-0.135784
1608054796	81460926	0.0691901	0.67	0.078713	-0.135784
1608054796	91546516	0.0691901	0.67	0.078713	-0.135784
1608054796	101439845	0.0691901	0.67	0.078713	-0.135784
1608054796	111404447	0.0691901	0.67	0.078713	-0.135784
1608054796	121423463	0.0691901	0.67	0.078713	-0.135784
1608054796	131731282	0.0691901	0.67	0.078713	-0.135784
1608054796	141548250	0.0691901	0.67	0.078713	-0.135784
1608054796	151512753	0.0691901	0.67	0.078713	-0.135784
1608054796	161348224	0.0691901	0.67	0.078713	-0.135784
1608054796	172182801	0.0691901	0.67	0.078713	-0.135784
1608054796	181536587	0.0691901	0.67	0.078713	-0.135784
1608054796	191495189	0.0691901	0.67	0.078713	-0.135784
1608054796	201700764	0.0691901	0.67	0.078713	-0.135784
1608054796	211656848	0.0691901	0.67	0.078713	-0.135784
1608054796	221798701	0.0691901	0.67	0.078713	-0.135784
1608054796	231567549	0.0691901	0.67	0.078713	-0.135784
1608054796	241466837	0.0691901	0.67	0.078713	-0.135784
1608054796	251570236	0.0691901	0.67	0.078713	-0.135784
1608054796	261646982	0.0691901	0.67	0.078713	-0.135784
1608054796	271808109	0.0691901	0.67	0.078713	-0.135784
1608054796	281804562	0.0691901	0.67	0.078713	-0.135784
1608054796	291912475	0.0691901	0.67	0.078713	-0.135784
1608054796	301719564	0.0691901	0.67	0.078713	-0.135784
1608054796	311471691	0.0691901	0.67	0.078713	-0.135784
1608054796	321558056	0.0691901	0.67	0.078713	-0.135784
1608054796	331416109	0.0691901	0.67	0.078713	-0.135784
1608054796	341568075	0.0691901	0.67	0.078713	-0.135784
1608054796	351735025	0.0691901	0.67	0.078713	-0.135784
1608054796	361524230	0.0691901	0.67	0.078713	-0.135784
1608054796	371550613	0.0691901	0.67	0.078713	-0.135784
1608054796	381577575	0.0691901	0.67	0.078713	-0.135784
1608054796	391787517	0.0691901	0.67	0.078713	-0.135784
1608054796	401512145	0.0691901	0.67	0.078713	-0.135784
1608054796	411866181	0.0691901	0.67	0.078713	-0.135784
1608054796	421522586	0.0691901	0.67	0.078713	-0.135784
1608054796	431931593	0.0691901	0.67	0.078713	-0.135784
1608054796	441516053	0.0691901	0.67	0.078713	-0.135784
1608054796	451452247	0.0691901	0.67	0.078713	-0.135784
1608054796	461574861	0.0691901	0.67	0.078713	-0.135784
1608054796	471630219	0.0691901	0.67	0.078713	-0.135784
1608054796	481602258	0.0691901	0.67	0.078713	-0.135784
1608054796	491748508	0.0691901	0.67	0.078713	-0.135784
1608054796	501489530	0.0691901	0.67	0.078713	-0.135784
1608054796	511994125	0.0691901	0.67	0.078713	-0.135784
1608054796	521248996	0.0691901	0.67	0.078713	-0.135784
1608054796	531241909	0.0691901	0.67	0.078713	-0.135784
1608054796	541287559	0.0691901	0.67	0.078713	-0.135784
1608054796	551192669	0.0691901	0.67	0.078713	-0.135784
1608054796	561588890	0.0691901	0.67	0.078713	-0.135784
1608054796	571313498	0.0691901	0.67	0.078713	-0.135784
1608054796	581295534	0.0691901	0.67	0.078713	-0.135784
1608054796	591113773	0.0691901	0.67	0.078713	-0.135784
1608054796	601253181	0.0691901	0.67	0.078713	-0.135784
1608054796	611222941	0.0691901	0.67	0.078713	-0.135784
1608054796	621410862	0.0691901	0.67	0.078713	-0.135784
1608054796	631617410	0.0691901	0.67	0.078713	-0.135784
1608054796	641292192	0.0691901	0.67	0.078713	-0.135784
1608054796	651181224	0.0691901	0.67	0.078713	-0.135784
1608054796	661347548	0.0691901	0.67	0.078713	-0.135784
1608054796	671280360	0.0691901	0.67	0.078713	-0.135784
1608054796	681539964	0.0691901	0.67	0.078713	-0.135784
1608054796	691341327	0.0691901	0.67	0.078713	-0.135784
1608054796	701346906	0.0691901	0.67	0.078713	-0.135784
1608054796	711259234	0.0691901	0.67	0.078713	-0.135784
1608054796	721719766	0.0691906	0.6702	0.0787147	-0.135789
1608054796	731359772	0.0691906	0.6704	0.0787144	-0.135785
1608054796	741510261	0.0691904	0.6706	0.0787137	-0.135788
1608054796	751348145	0.0691904	0.6708	0.0787134	-0.135784
1608054796	761489378	0.0691893	0.671	0.078714	-0.135786
1608054796	771437187	0.0691898	0.6712	0.0787157	-0.135789
1608054796	781645943	0.069189	0.6714	0.0787131	-0.135784
1608054796	791758437	0.0691895	0.6716	0.0787148	-0.135788
1608054796	801736006	0.0691895	0.6718	0.0787145	-0.135784
1608054796	811372638	0.0691909	0.672	0.0787149	-0.13579
1608054796	821728608	0.0691908	0.6722	0.0787147	-0.135785
1608054796	831564521	0.06919	0.6724	0.078712	-0.13578
1608054796	841543225	0.0691894	0.6726	0.0787146	-0.135789
1608054796	851549570	0.0691893	0.6728	0.0787144	-0.135784
1608054796	861783008	0.0691907	0.673	0.0787148	-0.13579
1608054796	871646317	0.0691906	0.6732	0.0787146	-0.135785
1608054796	881728255	0.0691903	0.6734	0.0787139	-0.135788
1608054796	891784221	0.0691891	0.6736	0.0787146	-0.135788
1608054796	901875982	0.069189	0.6738	0.0787144	-0.135783
1608054796	911583588	0.0691904	0.674	0.0787148	-0.135789
1608054796	921732992	0.0691903	0.6742	0.0787146	-0.135784
1608054796	931910926	0.0691899	0.6744	0.078714	-0.135786
1608054796	941729750	0.0691897	0.6746	0.0787133	-0.135788
1608054796	951636302	0.0691901	0.6748	0.0787151	-0.135791
1608054796	961620907	0.0691899	0.675	0.0787149	-0.135786
1608054796	971537170	0.0691907	0.6752	0.0787134	-0.135783
1608054796	981729292	0.0691901	0.6754	0.078716	-0.135791
1608054796	992069690	0.0691891	0.6756	0.0787134	-0.135785
1608054797	2060999	0.0691904	0.6758	0.0787139	-0.135789
1608054797	11545271	0.0691903	0.676	0.0787137	-0.135784
1608054797	21960259	0.069189	0.6762	0.0787144	-0.135784
1608054797	31996586	0.0691903	0.6764	0.0787149	-0.135788
1608054797	41959137	0.0691901	0.6766	0.0787147	-0.135782
1608054797	51930625	0.0691903	0.6768	0.078716	-0.135792
1608054797	62054913	0.0691893	0.677	0.0787135	-0.135786
1608054797	71898637	0.0691906	0.6772	0.078714	-0.13579
1608054797	81545142	0.0691893	0.6774	0.0787147	-0.13579
1608054797	91662210	0.06919	0.6776	0.0787132	-0.135786
1608054797	101741342	0.0691904	0.6778	0.078715	-0.135788
1608054797	112066034	0.06919	0.678	0.0787144	-0.135789
1608054797	121985314	0.0691903	0.6782	0.0787163	-0.135791
1608054797	131994234	0.069191	0.6784	0.0787148	-0.135787
1608054797	141552849	0.0691889	0.6786	0.0787131	-0.135785
1608054797	151746953	0.0691901	0.6788	0.0787136	-0.135789
1608054797	161686138	0.0691899	0.679	0.0787135	-0.135782
1608054797	171782795	0.06919	0.6792	0.0787149	-0.135792
1608054797	181736037	0.0691897	0.6794	0.0787148	-0.135785
1608054797	191796637	0.0691893	0.6796	0.0787142	-0.135786
1608054797	201728868	0.0691905	0.6798	0.0787147	-0.13579
1608054797	211790133	0.0691902	0.68	0.0787146	-0.135783
1608054797	221634178	0.0691904	0.6802	0.078716	-0.135792
1608054797	231903627	0.069191	0.6804	0.0787146	-0.135787
1608054797	242007771	0.0691896	0.6806	0.0787154	-0.135786
1608054797	251856499	0.06919	0.6808	0.0787135	-0.135788
1608054797	261934382	0.0691906	0.681	0.0787121	-0.135783
1608054797	271964066	0.0691898	0.6812	0.0787148	-0.13579
1608054797	281652971	0.0691904	0.6814	0.0787134	-0.135785
1608054797	291900617	0.0691899	0.6816	0.0787129	-0.135785
1608054797	301813027	0.0691901	0.6818	0.0787148	-0.135786
1608054797	311878475	0.0691896	0.682	0.0787142	-0.135787
1608054797	321771570	0.0691902	0.682201	0.0787129	-0.135781
1608054797	331795829	0.0691902	0.6824	0.0787143	-0.13579
1608054797	342037631	0.0691898	0.6826	0.0787142	-0.135782
1608054797	351932686	0.0691899	0.6828	0.0787157	-0.13579
1608054797	362003473	0.0691904	0.683	0.0787143	-0.135785
1608054797	371716082	0.0691899	0.6832	0.0787138	-0.135785
1608054797	381791568	0.069191	0.6834	0.0787144	-0.135787
1608054797	391995003	0.0691895	0.6836	0.0787152	-0.135785
1608054797	401631202	0.0691907	0.6838	0.0787158	-0.135787
1608054797	411454912	0.0691901	0.684	0.0787153	-0.135787
1608054797	421371377	0.0691895	0.6842	0.0787148	-0.135787
1608054797	431187802	0.0691906	0.6844	0.0787154	-0.135789
1608054797	441834965	0.06919	0.6846	0.0787149	-0.135789
1608054797	451777105	0.0691905	0.684801	0.0787136	-0.135783
1608054797	461839257	0.0691905	0.685	0.0787151	-0.13579
1608054797	471910455	0.06919	0.6852	0.078715	-0.135782
1608054797	481583505	0.06919	0.6854	0.0787165	-0.135789
1608054797	491756323	0.0691894	0.6856	0.078716	-0.135789
1608054797	502291504	0.0691899	0.6858	0.0787147	-0.135782
1608054797	511858036	0.0691899	0.686	0.0787162	-0.13579
1608054797	521753291	0.0691903	0.6862	0.0787149	-0.135783
1608054797	531743873	0.0691897	0.6864	0.0787144	-0.135782
1608054797	541700304	0.0691896	0.6866	0.0787159	-0.13579
1608054797	551953219	0.06919	0.6868	0.0787146	-0.135783
1608054797	561929502	0.06919	0.687	0.0787161	-0.13579
1608054797	571898257	0.0691893	0.6872	0.0787157	-0.135789
1608054797	582071845	0.0691897	0.6874	0.0787144	-0.135782
1608054797	591903207	0.0691897	0.6876	0.0787159	-0.135789
1608054797	601913702	0.0691899	0.6878	0.0787142	-0.13579
1608054797	612004859	0.0691903	0.688	0.0787129	-0.135783
1608054797	621754888	0.0691902	0.6882	0.0787144	-0.135789
1608054797	632323014	0.0691895	0.6884	0.078714	-0.135788
1608054797	642203215	0.0691905	0.6886	0.0787147	-0.135789
1608054797	651964755	0.0691898	0.6888	0.0787142	-0.135787
1608054797	661691314	0.0691891	0.689	0.0787138	-0.135786
1608054797	671832322	0.0691901	0.6892	0.0787145	-0.135786
1608054797	681709468	0.0691903	0.6894	0.0787128	-0.135787
1608054797	691674076	0.0691895	0.6896	0.0787124	-0.135785
1608054797	701765147	0.0691902	0.6898	0.0787163	-0.135792
