time_sec	time_nanosec	x_coord_0	x_coord_1	x_coord_2	x_coord_3
1612524849	273781522	0.0479827	0.650573	0.116586	-0.053614
1612524849	283784767	0.0494996	0.640311	0.114068	-0.0508831
1612524849	293728479	0.0497331	0.642246	0.126333	-0.0571804
1612524849	303768237	0.0495554	0.640991	0.117743	-0.0581887
1612524849	313782237	0.0475884	0.651803	0.123205	-0.0606866
1612524849	323808464	0.0472461	0.652863	0.118979	-0.0601313
1612524849	333729787	0.0472461	0.652863	0.118979	-0.0601313
1612524849	343723306	0.0472461	0.652863	0.118979	-0.0601313
1612524849	353800046	0.0472461	0.652863	0.118979	-0.0601313
1612524849	363749617	0.0472461	0.652863	0.118979	-0.0601313
1612524849	373811852	0.046566	0.646455	0.108959	-0.0502535
1612524849	383908509	0.0452349	0.639415	0.108986	-0.0429557
1612524849	393961427	0.0447508	0.630789	0.112186	-0.0390307
1612524849	403864048	0.0415597	0.641168	0.130623	-0.0451801
1612524849	413757870	0.0385511	0.654732	0.131646	-0.0493251
1612524849	423808455	0.0369015	0.650435	0.107469	-0.0368842
1612524849	433772285	0.0357211	0.647441	0.108292	-0.0328027
1612524849	443676744	0.0357211	0.647441	0.108292	-0.0328027
1612524849	453922915	0.0363377	0.638967	0.109604	-0.0297123
1612524849	463801981	0.0375261	0.63164	0.118108	-0.0315222
1612524849	473862476	0.0388286	0.63171	0.127793	-0.0411934
1612524849	483930835	0.0379578	0.651674	0.136907	-0.0590358
1612524849	493736327	0.0380367	0.653296	0.12159	-0.0575239
1612524849	503783008	0.0382506	0.651576	0.126333	-0.0599424
1612524849	513778507	0.0406525	0.637804	0.11895	-0.0602023
1612524849	523873626	0.0421093	0.63864	0.128339	-0.0732406
1612524849	533836195	0.0421093	0.63864	0.128339	-0.0732406
1612524849	543870183	0.0432448	0.637975	0.118072	-0.0811207
1612524849	553890983	0.0429242	0.649643	0.116039	-0.0883912
1612524849	563799752	0.0415121	0.6639	0.106986	-0.0860946
1612524849	573781133	0.0405563	0.661174	0.0972454	-0.063708
1612524849	583840550	0.0416519	0.643217	0.0973793	-0.0467171
1612524849	593870314	0.0418097	0.642193	0.108783	-0.0456222
1612524849	603852055	0.0419207	0.638535	0.108489	-0.0421483
1612524849	613748617	0.0405717	0.649382	0.11929	-0.0448144
1612524849	623723737	0.0405717	0.649382	0.11929	-0.0448144
1612524849	633869622	0.0404369	0.649909	0.118067	-0.0437929
1612524849	643741533	0.0404369	0.649909	0.118067	-0.0437929
1612524849	653737779	0.0404187	0.64568	0.111449	-0.0348733
1612524849	663781343	0.0404187	0.64568	0.111449	-0.0348733
1612524849	673775846	0.0414112	0.641041	0.110079	-0.033315
1612524849	683765145	0.0426927	0.635712	0.107562	-0.0330264
1612524849	693836070	0.0433236	0.638997	0.114938	-0.0380408
1612524849	703781316	0.0423186	0.656727	0.122432	-0.0474806
1612524849	713791423	0.0408289	0.668847	0.115562	-0.0462965
1612524849	723733520	0.0415249	0.654161	0.108068	-0.033285
1612524849	733717100	0.04293	0.641331	0.108802	-0.0289189
