time_sec	time_nanosec	joint_velocity_0	joint_velocity_1	joint_velocity_2	joint_velocity_3
1612524849	143688787	0.917588	1.17815	1.14826	1.22265
1612524849	153834048	-1.73767	-1.15836	-1.56022	-1.42369
1612524849	163673705	-0.634107	-0.764195	-0.81479	-0.796247
1612524849	174139658	0.118097	-0.106359	-0.0644168	-0.116467
1612524849	183643214	0.326816	-0.0398436	0.0859252	0.0409411
1612524849	193970104	0.514785	0.426463	0.475007	0.453232
1612524849	203653739	1.1073	1.30569	1.21501	1.22312
1612524849	213661832	-1.02324	-0.54679	-0.948982	-0.826062
1612524849	223755419	-0.272862	-0.458179	-0.511778	-0.504291
1612524849	233647235	-0.684068	-0.6886	-0.831784	-0.818081
1612524849	243679072	0.444946	0.0785967	0.165392	0.101012
1612524849	253654591	1.31825	1.05608	1.21865	1.13118
1612524849	263677613	-0.30708	0.46451	0.0761108	0.160069
1612524849	273640609	0.0726612	-0.1934	-0.101253	-0.105851
1612524849	283623859	-1.04593	-0.84544	-1.05318	-1.03735
1612524849	293621755	0.564797	0.0167394	0.278026	0.187632
1612524849	303637278	-0.381337	0.0569779	-0.109364	-0.121283
1612524849	313874616	1.17771	0.817222	1.12245	1.0986
1612524849	323687060	-0.030235	0.157959	0.0966027	0.110013
1612524849	334078817	0	0	0	0
1612524849	343677254	0	0	0	0
1612524849	353704540	0	0	0	0
1612524849	363698678	0	0	0	0
1612524849	373685766	-0.947513	-0.514993	-0.724583	-0.622192
1612524849	383704757	-0.720671	-0.759672	-0.708255	-0.673621
1612524849	393794283	-0.76	-0.893656	-0.836177	-0.843189
1612524849	403713966	1.50088	0.534275	1.19046	1.07641
1612524849	413636418	1.29991	1.13857	1.43309	1.38759
1612524849	423668490	-1.18409	-0.114351	-0.543274	-0.395421
1612524849	433815117	-0.294601	-0.369515	-0.291159	-0.274627
1612524849	443728567	0	0	0	0
1612524849	453736720	-0.7802	-0.802166	-0.85217	-0.845123
1612524849	463664684	-0.438322	-0.759057	-0.69148	-0.742172
1612524849	473670225	0.328465	-0.0273896	0.107361	-0.0158008
1612524849	483670284	2.22231	1.77464	2.1584	1.98179
1612524849	493599000	-0.298309	0.428681	0.102163	0.158475
1612524849	503659272	-0.0204284	-0.213512	-0.125327	-0.173125
1612524849	513653121	-1.51858	-1.00579	-1.37436	-1.39794
