time_sec	time_nanosec	q_grav_0	q_grav_1	q_grav_2	q_grav_3
1612524850	184493188	15.8867	20.4841	-38.3228	150.353
1612524850	194502708	16.2307	20.6339	-37.461	148.655
1612524850	204678059	16.011	20.5854	-37.7445	149.081
1612524850	214652855	15.9767	20.9834	-36.8953	147.801
1612524850	224532559	15.1547	20.4525	-37.4654	149.868
1612524850	234563403	14.898	20.3193	-36.1715	148.899
1612524850	244574488	14.0366	19.4446	-36.9937	151.447
1612524850	254575270	14.0422	19.6524	-35.3023	149.245
1612524850	264653323	13.0962	18.8297	-36.56	152.257
1612524850	274570234	13.2614	19.3202	-34.6003	149.407
1612524850	284553125	12.3284	18.739	-35.9997	152.5
1612524850	294528152	12.6477	19.2906	-34.0274	149.441
1612524850	304573155	11.8819	18.7118	-35.6307	152.604
1612524850	314516223	12.3075	19.0955	-33.8827	149.806
1612524850	324532878	11.6405	18.3676	-35.695	153.23
1612524850	334506257	12.1208	18.6094	-34.0962	150.672
1612524850	344538505	11.5846	17.8722	-35.9243	153.995
1612524850	354544459	12.1493	18.157	-34.415	151.416
1612524850	364698672	11.7731	17.5822	-36.192	154.375
1612524850	374558824	12.4691	18.0783	-34.7145	151.517
1612524850	384571648	12.2329	17.7318	-36.5	154.151
1612524850	394720130	13.0697	18.4255	-35.0417	151.009
1612524850	404530824	12.9325	18.1925	-36.9291	153.558
1612524850	414681347	13.8806	18.9523	-35.5571	150.338
1612524850	424805092	13.6636	18.6916	-36.6892	152.091
1612524850	434554146	14.7684	19.5967	-36.1893	149.657
1612524850	444533896	14.7747	19.4961	-37.908	151.685
1612524850	454583272	15.6731	20.3895	-36.735	148.574
1612524850	464545522	15.5127	20.1926	-38.6878	151.033
1612524850	474562908	16.4137	21.1476	-37.3925	147.711
1612524850	484578010	16.053	20.9072	-39.5063	150.631
1612524850	494688170	16.9142	21.8283	-38.0721	147.258
1612524850	504516640	16.4673	21.5186	-40.0469	150.229
1612524850	514724530	17.2463	22.2117	-38.5221	147.062
1612524850	524604303	16.7766	21.7729	-40.2446	149.909
1612524850	534571927	17.4405	22.2669	-38.7001	147.011
1612524850	544568751	16.8899	21.7245	-40.2256	149.818
1612524850	554638722	17.4227	22.0832	-38.615	147.109
1612524850	564508114	16.7098	21.395	-40.0954	150.185
1612524850	574500768	17.124	21.6149	-38.3723	147.622
1612524850	584554522	16.3145	20.7792	-39.831	150.916
1612524850	594499430	16.653	20.9003	-38.081	148.489
1612524850	604534839	15.8473	20.0325	-39.4671	151.711
1612524850	614557997	16.1665	20.215	-37.7096	149.232
1612524850	624641477	15.3879	19.452	-39.0647	152.285
1612524850	634570330	15.741	19.8041	-37.2716	149.581
1612524850	644896250	14.9913	19.1473	-38.7245	152.608
1612524850	654717435	15.4141	19.6341	-36.9619	149.738
1612524850	664721461	14.7296	19.0472	-38.5564	152.77
1612524850	674735320	15.2385	19.6339	-36.8849	149.801
1612524850	684747400	14.8687	19.2693	-37.944	151.693
1612524850	694670222	15.1508	19.9437	-36.8411	149.581
1612524850	704652109	14.6642	19.7575	-38.0162	151.567
1612524850	714561833	15.128	20.5576	-36.4599	148.54
1612524850	724901296	14.5334	20.2651	-38.0091	151.071
1612524850	734800425	15.0894	21.0931	-36.3661	147.809
1612524850	744851189	14.3971	20.7067	-38.264	150.951
