time_sec	time_nanosec	control_action_0	control_action_1	control_action_2	control_action_3
1608290767	589842106	9.91885	20.733	-33.7344	150.582
1608290767	600903278	9.91885	20.733	-33.7344	150.582
1608290767	607779178	9.91885	20.733	-33.7344	150.582
1608290767	617931651	9.91885	20.733	-33.7344	150.582
1608290767	628012043	9.91885	20.733	-33.7344	150.582
1608290767	637950553	9.91885	20.733	-33.7344	150.582
1608290767	647962284	9.91885	20.733	-33.7344	150.582
1608290767	658228205	9.91885	20.733	-33.7344	150.582
1608290767	668039306	9.91885	20.733	-33.7344	150.582
1608290767	678323785	9.91885	20.733	-33.7344	150.582
1608290767	688226916	9.91885	20.733	-33.7344	150.582
1608290767	698203661	9.91885	20.733	-33.7344	150.582
1608290767	708126282	9.91885	20.733	-33.7344	150.582
1608290767	718137953	9.91885	20.733	-33.7344	150.582
1608290767	728108394	9.91885	20.733	-33.7344	150.582
1608290767	738074873	9.91885	20.733	-33.7344	150.582
1608290767	748171289	9.91885	20.733	-33.7344	150.582
1608290767	758263504	9.91885	20.733	-33.7344	150.582
1608290767	768168727	9.91885	20.733	-33.7344	150.582
1608290767	778223639	9.91885	20.733	-33.7344	150.582
1608290767	788258676	9.91885	20.733	-33.7344	150.582
1608290767	797998993	9.91885	20.733	-33.7344	150.582
1608290767	808527021	9.91885	20.733	-33.7344	150.582
1608290767	818088213	9.91885	20.733	-33.7344	150.582
1608290767	828259652	9.91885	20.733	-33.7344	150.582
1608290767	837012224	9.91885	20.733	-33.7344	150.582
1608290767	846526614	9.91885	20.733	-33.7344	150.582
1608290767	856487074	9.91885	20.733	-33.7344	150.582
1608290767	866941442	9.91885	20.733	-33.7344	150.582
1608290767	876680451	9.91885	20.733	-33.7344	150.582
1608290767	887015272	9.91885	20.733	-33.7344	150.582
1608290767	896685599	9.91885	20.733	-33.7344	150.582
1608290767	906667808	9.91885	20.733	-33.7344	150.582
1608290767	916815482	9.91885	20.733	-33.7344	150.582
1608290767	926874031	9.91885	20.733	-33.7344	150.582
1608290767	937085676	9.91885	20.733	-33.7344	150.582
1608290767	946829906	9.91885	20.733	-33.7344	150.582
1608290767	957052487	9.91885	20.733	-33.7344	150.582
1608290767	966571561	9.91885	20.733	-33.7344	150.582
1608290767	976958491	9.91885	20.733	-33.7344	150.582
1608290767	986878517	9.91885	20.733	-33.7344	150.582
1608290767	996793611	9.91885	20.733	-33.7344	150.582
1608290768	6687166	9.91885	20.733	-33.7344	150.582
1608290768	17293701	9.91885	20.733	-33.7344	150.582
1608290768	27728307	9.91885	20.733	-33.7344	150.582
1608290768	38059722	9.91885	20.733	-33.7344	150.582
1608290768	48275075	9.91885	20.733	-33.7344	150.582
1608290768	58592383	9.91885	20.733	-33.7344	150.582
1608290768	68850867	9.91885	20.733	-33.7344	150.582
1608290768	78121416	9.91885	20.733	-33.7344	150.582
1608290768	89077914	9.91885	20.733	-33.7344	150.582
1608290768	98413430	9.91885	20.733	-33.7344	150.582
1608290768	108621627	9.91885	20.733	-33.7344	150.582
1608290768	118066824	9.91885	20.733	-33.7344	150.582
1608290768	127888218	9.91885	20.733	-33.7344	150.582
1608290768	139607672	9.91885	20.733	-33.7344	150.582
1608290768	148106553	9.91885	20.733	-33.7344	150.582
1608290768	159034648	9.91885	20.733	-33.7344	150.582
1608290768	168697607	9.91885	20.733	-33.7344	150.582
1608290768	178281840	9.91885	20.733	-33.7344	150.582
1608290768	188703510	9.91885	20.733	-33.7344	150.582
1608290768	197919322	9.91885	20.733	-33.7344	150.582
1608290768	208383855	9.91885	20.733	-33.7344	150.582
1608290768	218684689	9.91885	20.733	-33.7344	150.582
1608290768	228227082	9.91885	20.733	-33.7344	150.582
1608290768	238541376	9.91885	20.733	-33.7344	150.582
1608290768	248190530	9.91885	20.733	-33.7344	150.582
1608290768	258372000	9.91885	20.733	-33.7344	150.582
1608290768	268667556	9.91885	20.733	-33.7344	150.582
1608290768	278144119	9.91885	20.733	-33.7344	150.582
1608290768	288094432	9.91885	20.733	-33.7344	150.582
1608290768	297911119	9.91885	20.733	-33.7344	150.582
1608290768	308444337	9.91885	20.733	-33.7344	150.582
1608290768	318389161	9.91885	20.733	-33.7344	150.582
1608290768	328029691	9.91885	20.733	-33.7344	150.582
1608290768	338933536	9.91885	20.733	-33.7344	150.582
1608290768	348067337	9.91885	20.733	-33.7344	150.582
1608290768	358550080	9.91885	20.733	-33.7344	150.582
1608290768	368696023	9.91885	20.733	-33.7344	150.582
1608290768	378275517	9.91885	20.733	-33.7344	150.582
1608290768	388564017	9.91885	20.733	-33.7344	150.582
1608290768	398253588	9.91885	20.733	-33.7344	150.582
1608290768	408387567	9.91885	20.733	-33.7344	150.582
1608290768	418574794	9.91885	20.733	-33.7344	150.582
1608290768	428182765	9.91885	20.733	-33.7344	150.582
1608290768	438740884	9.91885	20.733	-33.7344	150.582
1608290768	448494146	9.91885	20.733	-33.7344	150.582
1608290768	458583019	9.91885	20.733	-33.7344	150.582
1608290768	468560309	9.91885	20.733	-33.7344	150.582
1608290768	478280409	9.91885	20.733	-33.7344	150.582
1608290768	488371853	9.91885	20.733	-33.7344	150.582
1608290768	498049190	9.91885	20.733	-33.7344	150.582
1608290768	509285424	9.91885	20.733	-33.7344	150.582
1608290768	518262555	9.91885	20.733	-33.7344	150.582
1608290768	528120180	9.91885	20.733	-33.7344	150.582
1608290768	537423109	9.91885	20.733	-33.7344	150.582
1608290768	547038277	9.91885	20.733	-33.7344	150.582
1608290768	557307170	9.91885	20.733	-33.7344	150.582
1608290768	567359958	9.91885	20.733	-33.7344	150.582
1608290768	577357926	9.91885	20.733	-33.7344	150.582
1608290768	587251567	9.91885	20.733	-33.7344	150.582
1608290768	597210232	9.91885	20.733	-33.7344	150.582
1608290768	607257538	9.91885	20.733	-33.7344	150.582
1608290768	617829729	9.91885	20.733	-33.7344	150.582
1608290768	627128078	9.91885	20.733	-33.7344	150.582
1608290768	637494976	9.91885	20.733	-33.7344	150.582
1608290768	647200464	9.91885	20.733	-33.7344	150.582
1608290768	657207279	9.91885	20.733	-33.7344	150.582
1608290768	667474991	9.91885	20.733	-33.7344	150.582
1608290768	677918691	9.91885	20.733	-33.7344	150.582
1608290768	687662204	9.91885	20.733	-33.7344	150.582
1608290768	697318543	9.91885	20.733	-33.7344	150.582
1608290768	707314211	9.91885	20.733	-33.7344	150.582
1608290768	717553786	9.91885	20.733	-33.7344	150.582
1608290768	726933748	9.91885	20.733	-33.7344	150.582
1608290768	737425672	9.91885	20.733	-33.7344	150.582
1608290768	747076292	9.91885	20.733	-33.7344	150.582
1608290768	757274410	9.91885	20.733	-33.7344	150.582
1608290768	767598980	9.91885	20.733	-33.7344	150.582
1608290768	777319991	9.91885	20.733	-33.7344	150.582
1608290768	787338305	9.91885	20.733	-33.7344	150.582
1608290768	797225784	9.91885	20.733	-33.7344	150.582
1608290768	807157818	9.91885	20.733	-33.7344	150.582
1608290768	817665912	9.91885	20.733	-33.7344	150.582
1608290768	827002308	9.91885	20.733	-33.7344	150.582
1608290768	837235921	9.91885	20.733	-33.7344	150.582
1608290768	847052294	9.91885	20.733	-33.7344	150.582
1608290768	857384003	9.91885	20.733	-33.7344	150.582
1608290768	867468884	9.91885	20.733	-33.7344	150.582
1608290768	877200104	9.91885	20.733	-33.7344	150.582
1608290768	887380908	9.91885	20.733	-33.7344	150.582
1608290768	897339344	9.91885	20.733	-33.7344	150.582
1608290768	907314434	9.91885	20.733	-33.7344	150.582
1608290768	917450474	9.91885	20.733	-33.7344	150.582
1608290768	927356337	9.91885	20.733	-33.7344	150.582
1608290768	937266727	9.91885	20.733	-33.7344	150.582
1608290768	947232052	9.91885	20.733	-33.7344	150.582
1608290768	957162731	9.91885	20.733	-33.7344	150.582
1608290768	967292402	9.91885	20.733	-33.7344	150.582
1608290768	977287614	9.91885	20.733	-33.7344	150.582
1608290768	987097399	9.91885	20.733	-33.7344	150.582
1608290768	997271134	9.91885	20.733	-33.7344	150.582
1608290769	7074161	9.91885	20.733	-33.7344	150.582
1608290769	17133782	9.91885	20.733	-33.7344	150.582
1608290769	27111194	9.91885	20.733	-33.7344	150.582
1608290769	36993641	9.91885	20.733	-33.7344	150.582
1608290769	47260033	9.91885	20.733	-33.7344	150.582
1608290769	57201397	9.91885	20.733	-33.7344	150.582
1608290769	67289119	9.91885	20.733	-33.7344	150.582
1608290769	77189410	9.91885	20.733	-33.7344	150.582
1608290769	87039472	9.91885	20.733	-33.7344	150.582
1608290769	97217115	9.91885	20.733	-33.7344	150.582
1608290769	107858191	9.91885	20.733	-33.7344	150.582
1608290769	116998375	9.91885	20.733	-33.7344	150.582
1608290769	126911067	9.91885	20.733	-33.7344	150.582
1608290769	137058738	9.91885	20.733	-33.7344	150.582
1608290769	147065828	9.91885	20.733	-33.7344	150.582
1608290769	157127483	9.91885	20.733	-33.7344	150.582
1608290769	167221471	9.91885	20.733	-33.7344	150.582
1608290769	177050242	9.91885	20.733	-33.7344	150.582
1608290769	187158152	9.91885	20.733	-33.7344	150.582
1608290769	197155618	9.91885	20.733	-33.7344	150.582
1608290769	207324629	9.91885	20.733	-33.7344	150.582
1608290769	216807591	9.91885	20.733	-33.7344	150.582
1608290769	227182447	9.91885	20.733	-33.7344	150.582
1608290769	237041472	9.91885	20.733	-33.7344	150.582
1608290769	247269950	9.91885	20.733	-33.7344	150.582
1608290769	257390760	9.91885	20.733	-33.7344	150.582
1608290769	267201800	9.91885	20.733	-33.7344	150.582
1608290769	277207091	9.91885	20.733	-33.7344	150.582
1608290769	287518053	9.91885	20.733	-33.7344	150.582
1608290769	297797358	9.91885	20.733	-33.7344	150.582
1608290769	307685324	9.91885	20.733	-33.7344	150.582
1608290769	317391473	9.91885	20.733	-33.7344	150.582
1608290769	327671560	9.91885	20.733	-33.7344	150.582
1608290769	337786959	9.91885	20.733	-33.7344	150.582
1608290769	347701241	9.91885	20.733	-33.7344	150.582
1608290769	357617704	9.91885	20.733	-33.7344	150.582
1608290769	367580357	9.91885	20.733	-33.7344	150.582
1608290769	377903147	9.91885	20.733	-33.7344	150.582
