time_sec	time_nanosec	ang_ots_0	ang_ots_1	ang_ots_2	ang_ots_3	ang_ots_4	ang_ots_5
1614784199	402636467	113.048	69.6122	62.2733	43.4354	50.7743	7.3389
1614784199	413263767	113.048	69.6147	62.2757	43.4337	50.7726	7.33894
1614784199	423107947	113.048	69.6128	62.2741	43.435	50.7737	7.33872
1614784199	433012937	113.047	69.6138	62.275	43.4332	50.772	7.33883
1614784199	443144553	113.051	69.6112	62.2725	43.4401	50.7788	7.33868
1614784199	452948185	113.048	69.6148	62.2757	43.4336	50.7726	7.33903
1614784199	462985380	113.047	69.6134	62.2744	43.4334	50.7724	7.33894
1614784199	473217474	113.046	69.6142	62.2752	43.4322	50.7712	7.33905
1614784199	483182756	113.047	69.6151	62.2758	43.4315	50.7709	7.33932
1614784199	492261516	113.047	69.6151	62.2758	43.4315	50.7709	7.33932
1614784199	503251612	113.047	69.614	62.2751	43.4332	50.7721	7.33889
1614784199	513091662	113.047	69.6153	62.276	43.4316	50.7709	7.33929
1614784199	522959038	113.048	69.6133	62.2744	43.4349	50.7738	7.33888
1614784199	533041921	113.046	69.6129	62.2743	43.4333	50.7719	7.3386
1614784199	543090535	113.047	69.6156	62.2761	43.4313	50.7708	7.3395
1614784199	552999528	113.049	69.6155	62.2761	43.4332	50.7726	7.33937
1614784199	563225637	113.048	69.6137	62.2747	43.4341	50.7731	7.33902
1614784199	573161275	113.048	69.6153	62.2761	43.4323	50.7715	7.33923
1614784199	583128549	113.047	69.6134	62.2743	43.4337	50.7728	7.3391
1614784199	593187358	113.049	69.6157	62.276	43.4329	50.7726	7.3397
1614784199	603047924	113.047	69.6137	62.275	43.4329	50.7717	7.33877
1614784199	613045696	113.048	69.6145	62.2753	43.4333	50.7725	7.33927
1614784199	623319985	113.047	69.6161	62.2765	43.4305	50.7702	7.33962
1614784199	633182084	113.047	69.6168	62.2773	43.4303	50.7698	7.33945
1614784199	642968561	113.047	69.6157	62.2761	43.4314	50.7709	7.33959
1614784199	653140520	113.047	69.6156	62.2761	43.4316	50.771	7.33945
1614784199	662769126	113.048	69.6161	62.2765	43.432	50.7716	7.33961
1614784199	672812055	113.047	69.6147	62.2755	43.4319	50.7711	7.33921
1614784199	682762054	113.047	69.6146	62.2754	43.4328	50.772	7.33917
1614784199	692833807	113.048	69.6136	62.2747	43.4341	50.7729	7.33883
1614784199	702641154	113.047	69.6151	62.2758	43.4319	50.7711	7.33923
1614784199	712740618	113.05	69.6172	62.2773	43.4327	50.7726	7.33994
1614784199	722669425	113.045	69.6137	62.2746	43.4311	50.7702	7.33909
1614784199	732728762	113.046	69.6133	62.2744	43.433	50.772	7.33896
1614784199	742739701	113.047	69.6153	62.2758	43.4318	50.7713	7.33948
1614784199	752768440	113.046	69.6152	62.2758	43.4308	50.7702	7.33937
1614784199	762742259	113.048	69.6155	62.276	43.4326	50.7721	7.33948
1614784199	772780365	113.048	69.6153	62.2759	43.433	50.7723	7.33936
1614784199	782732410	113.048	69.6134	62.2746	43.4347	50.7735	7.33881
1614784199	792796862	113.048	69.6152	62.2759	43.4327	50.772	7.33935
1614784199	802734756	113.047	69.6148	62.2756	43.4323	50.7715	7.33917
1614784199	812759057	113.047	69.6141	62.2752	43.4329	50.7719	7.33897
1614784199	823179508	113.046	69.6137	62.2747	43.4324	50.7714	7.33899
1614784199	833039090	113.049	69.6164	62.2768	43.4321	50.7718	7.33968
1614784199	842853229	113.048	69.6146	62.2758	43.4334	50.7723	7.33886
1614784199	852666692	113.049	69.6161	62.2765	43.4329	50.7726	7.33966
1614784199	862608610	113.045	69.614	62.275	43.4313	50.7704	7.33903
1614784199	872729128	113.047	69.6161	62.2768	43.4312	50.7706	7.33938
1614784199	882753981	113.05	69.6163	62.2768	43.4342	50.7737	7.3395
1614784199	893191570	113.047	69.6156	62.2764	43.4316	50.7708	7.3392
1614784199	903107704	113.048	69.6155	62.2761	43.4328	50.7722	7.33938
1614784199	913135040	113.047	69.6146	62.2752	43.4326	50.7721	7.33942
1614784199	923038759	113.049	69.6157	62.2761	43.433	50.7725	7.33953
1614784199	933043218	113.048	69.615	62.2758	43.4326	50.7718	7.33924
1614784199	943212136	113.048	69.615	62.2757	43.4328	50.7721	7.33931
1614784199	953127873	113.049	69.6162	62.2765	43.4327	50.7724	7.33972
1614784199	963243225	113.048	69.6162	62.2768	43.4318	50.7713	7.33947
1614784199	973060784	113.048	69.6168	62.2771	43.4315	50.7713	7.33979
1614784199	982991742	113.048	69.6159	62.2768	43.4317	50.7708	7.33912
1614784199	992732470	113.048	69.6149	62.2755	43.4327	50.7721	7.33937
1614784200	2695757	113.049	69.6153	62.2762	43.4334	50.7725	7.33913
1614784200	12816167	113.046	69.6139	62.275	43.4325	50.7715	7.33894
1614784200	22789631	113.048	69.6162	62.2766	43.4322	50.7718	7.33956
1614784200	32680163	113.048	69.6174	62.2776	43.4306	50.7704	7.33983
1614784200	42696649	113.05	69.6164	62.277	43.4333	50.7727	7.33943
1614784200	52757231	113.049	69.6155	62.2761	43.4332	50.7727	7.33941
1614784200	62720839	113.049	69.6139	62.275	43.4355	50.7745	7.33892
1614784200	72684030	113.047	69.6154	62.2757	43.4313	50.771	7.33973
1614784200	82698411	113.048	69.6152	62.2759	43.4331	50.7724	7.3393
1614784200	92844052	113.05	69.6182	62.2782	43.4317	50.7717	7.33999
1614784200	102735150	113.049	69.6173	62.2773	43.4314	50.7714	7.33999
1614784200	113154020	113.046	69.6153	62.2758	43.4303	50.7698	7.3395
1614784200	123092689	113.048	69.616	62.2762	43.4318	50.7715	7.33976
1614784200	132749078	113.047	69.616	62.2764	43.4308	50.7704	7.33956
1614784200	142816674	113.049	69.6183	62.2783	43.4308	50.7708	7.34001
1614784200	152690004	113.051	69.618	62.2779	43.4326	50.7727	7.34013
1614784200	162822427	113.048	69.6182	62.2782	43.4302	50.7702	7.34004
1614784200	172839400	113.048	69.6153	62.276	43.4322	50.7715	7.33923
1614784200	182674265	113.051	69.6165	62.2768	43.4348	50.7745	7.33968
1614784200	192723030	113.049	69.6156	62.2763	43.4336	50.7729	7.33937
1614784200	202776554	113.048	69.6145	62.2753	43.4334	50.7726	7.33919
1614784200	213274342	113.049	69.6155	62.276	43.4331	50.7726	7.3395
1614784200	222699580	113.045	69.6151	62.2759	43.4295	50.7688	7.33921
1614784200	232671640	113.049	69.6168	62.2772	43.4326	50.7723	7.33963
