time_sec	time_nanosec	ref_pose_mod_0	ref_pose_mod_1	ref_pose_mod_2	ref_pose_mod_3
1616591780	834180214	0.706355	0.696049	0.672975	0.658246
1616591780	844500946	0.706355	0.696049	0.672975	0.658246
1616591780	854529691	0.706355	0.696049	0.672975	0.658246
1616591780	864445323	0.706355	0.696049	0.672975	0.658246
1616591780	874180444	0.706355	0.696049	0.672975	0.658246
1616591780	884517228	0.706355	0.696049	0.672975	0.658246
1616591780	894423738	0.706355	0.696049	0.672975	0.658246
1616591780	904139487	0.706355	0.696049	0.672975	0.658246
1616591780	914408240	0.706355	0.696049	0.672975	0.658246
1616591780	925286223	0.706355	0.696049	0.672975	0.658246
1616591780	935985742	0.706355	0.696049	0.672975	0.658246
1616591780	945597609	0.706355	0.696049	0.672975	0.658246
1616591780	955664296	0.706355	0.696049	0.672975	0.658246
1616591780	965562546	0.706355	0.696049	0.672975	0.658246
1616591780	975654333	0.706355	0.696049	0.672975	0.658246
1616591780	985534873	0.706355	0.696049	0.672975	0.658246
1616591780	995654633	0.706355	0.696049	0.672975	0.658246
1616591781	5715125	0.706355	0.696049	0.672975	0.658246
1616591781	15364905	0.706355	0.696049	0.672975	0.658246
1616591781	25471053	0.706355	0.696049	0.672975	0.658246
1616591781	35641158	0.706355	0.696049	0.672975	0.658246
1616591781	45449364	0.706355	0.696049	0.672975	0.658246
1616591781	55516110	0.706355	0.696049	0.672975	0.658246
1616591781	65393632	0.706355	0.696049	0.672975	0.658246
1616591781	76239921	0.706355	0.696049	0.672975	0.658246
1616591781	86172416	0.706355	0.696049	0.672975	0.658246
1616591781	95437062	0.706355	0.696049	0.672975	0.658246
1616591781	105625731	0.706355	0.696049	0.672975	0.658246
1616591781	115358556	0.706355	0.696049	0.672975	0.658246
1616591781	125476534	0.706355	0.696049	0.672975	0.658246
1616591781	135749959	0.706355	0.696049	0.672975	0.658246
1616591781	145612963	0.706355	0.696049	0.672975	0.658246
1616591781	155913392	0.706355	0.696049	0.672975	0.658246
1616591781	165983006	0.706355	0.696049	0.672975	0.658246
1616591781	176036232	0.706355	0.696049	0.672975	0.658246
1616591781	186365745	0.706355	0.696049	0.672975	0.658246
1616591781	196489458	0.706355	0.696049	0.672975	0.658246
1616591781	206278329	0.706355	0.696049	0.672975	0.658246
1616591781	215928019	0.706355	0.696049	0.672975	0.658246
1616591781	226147113	0.706355	0.696049	0.672975	0.658246
1616591781	235874576	0.706355	0.696049	0.672975	0.658246
1616591781	245988294	0.706355	0.696049	0.672975	0.658246
1616591781	256321953	0.706355	0.696049	0.672975	0.658246
1616591781	266177943	0.706355	0.696049	0.672975	0.658246
1616591781	275996636	0.706355	0.696049	0.672975	0.658246
1616591781	286660637	0.706355	0.696049	0.672975	0.658246
1616591781	295950162	0.706355	0.696049	0.672975	0.658246
1616591781	305949912	0.706355	0.696049	0.672975	0.658246
1616591781	316234571	0.706355	0.696049	0.672975	0.658246
1616591781	326204659	0.706355	0.696049	0.672975	0.658246
1616591781	336130655	0.706355	0.696049	0.672975	0.658246
1616591781	346722659	0.706355	0.696049	0.672975	0.658246
1616591781	356681287	0.706355	0.696049	0.672975	0.658246
1616591781	366345684	0.706355	0.696049	0.672975	0.658246
1616591781	376238224	0.706355	0.696049	0.672975	0.658246
1616591781	386936328	0.706355	0.696049	0.672975	0.658246
1616591781	400003800	0.706355	0.696049	0.672975	0.658246
1616591781	406831842	0.706355	0.696049	0.672975	0.658246
1616591781	416644717	0.706355	0.696049	0.672975	0.658246
1616591781	426874217	0.706355	0.696049	0.672975	0.658246
1616591781	435813644	0.706355	0.696049	0.672975	0.658246
1616591781	446785235	0.706355	0.696049	0.672975	0.658246
1616591781	456898592	0.706355	0.696049	0.672975	0.658246
1616591781	466322962	0.706355	0.696049	0.672975	0.658246
1616591781	476374937	0.706355	0.696049	0.672975	0.658246
