time_sec	time_nanosec	joint_position_0	joint_position_1	joint_position_2	joint_position_3
1616592226	243225881	0.66652	0.675395	0.696263	0.622631
1616592226	253226070	0.66652	0.675395	0.696263	0.622631
1616592226	263243260	0.66652	0.675395	0.696263	0.622631
1616592226	273194236	0.66652	0.675395	0.696263	0.622631
1616592226	283202203	0.66652	0.675395	0.696263	0.622631
1616592226	293155863	0.66652	0.675395	0.696263	0.622631
1616592226	303198604	0.66652	0.675395	0.696263	0.622631
1616592226	313235544	0.66652	0.675395	0.696263	0.622631
1616592226	323188250	0.66652	0.675395	0.696263	0.622631
1616592226	333185887	0.66652	0.675395	0.696263	0.622631
1616592226	343172047	0.66652	0.675395	0.696263	0.622631
1616592226	353197321	0.66652	0.675395	0.696263	0.622631
1616592226	363188420	0.66652	0.675395	0.696263	0.622631
1616592226	373211551	0.66652	0.675395	0.696263	0.622631
1616592226	383213267	0.66652	0.675395	0.696263	0.622631
1616592226	393203421	0.66652	0.675395	0.696263	0.622631
1616592226	403208719	0.66652	0.675395	0.696263	0.622631
1616592226	413257793	0.66652	0.675395	0.696263	0.622631
1616592226	423288932	0.66652	0.675395	0.696263	0.622631
1616592226	433258167	0.66652	0.675395	0.696263	0.622631
1616592226	443265806	0.66652	0.675395	0.696263	0.622631
1616592226	453281058	0.66652	0.675395	0.696263	0.622631
1616592226	463281229	0.66652	0.675395	0.696263	0.622631
1616592226	473303835	0.66652	0.675395	0.696263	0.622631
1616592226	483272305	0.66652	0.675395	0.696263	0.622631
1616592226	493273154	0.66652	0.675395	0.696263	0.622631
1616592226	503304849	0.66652	0.675395	0.696263	0.622631
1616592226	513278841	0.66652	0.675395	0.696263	0.622631
1616592226	523302842	0.66652	0.675395	0.696263	0.622631
1616592226	533262858	0.66652	0.675395	0.696263	0.622631
1616592226	543275426	0.66652	0.675395	0.696263	0.622631
1616592226	553287855	0.66652	0.675395	0.696263	0.622631
1616592226	563320821	0.66652	0.675395	0.696263	0.622631
1616592226	573271422	0.66652	0.675395	0.696263	0.622631
1616592226	583319884	0.66652	0.675395	0.696263	0.622631
1616592226	593269183	0.66652	0.675395	0.696263	0.622631
1616592226	603304226	0.66652	0.675395	0.696263	0.622631
1616592226	613287066	0.66652	0.675395	0.696263	0.622631
1616592226	623281595	0.66652	0.675395	0.696263	0.622631
1616592226	633342306	0.66652	0.675395	0.696263	0.622631
1616592226	643269185	0.66652	0.675395	0.696263	0.622631
1616592226	653274276	0.66652	0.675395	0.696263	0.622631
1616592226	663299000	0.66652	0.675395	0.696263	0.622631
1616592226	673290763	0.66652	0.675395	0.696263	0.622631
1616592226	683314476	0.66652	0.675395	0.696263	0.622631
1616592226	693313781	0.66652	0.675395	0.696263	0.622631
1616592226	703259737	0.66652	0.675395	0.696263	0.622631
1616592226	713258365	0.66652	0.675395	0.696263	0.622631
1616592226	723303229	0.66652	0.675395	0.696263	0.622631
1616592226	733323452	0.66652	0.675395	0.696263	0.622631
1616592226	743317461	0.66652	0.675395	0.696263	0.622631
1616592226	753269873	0.66652	0.675395	0.696263	0.622631
1616592226	763260990	0.66652	0.675395	0.696263	0.622631
1616592226	773305777	0.66652	0.675395	0.696263	0.622631
1616592226	783305522	0.66652	0.675395	0.696263	0.622631
1616592226	793275848	0.66652	0.675395	0.696263	0.622631
1616592226	803277902	0.66652	0.675395	0.696263	0.622631
1616592226	813216856	0.66652	0.675395	0.696263	0.622631
1616592226	823273670	0.66652	0.675395	0.696263	0.622631
1616592226	833247326	0.66652	0.675395	0.696263	0.622631
1616592226	843249280	0.66652	0.675395	0.696263	0.622631
1616592226	853231662	0.66652	0.675395	0.696263	0.622631
1616592226	863219852	0.66652	0.675395	0.696263	0.622631
1616592226	873258451	0.66652	0.675395	0.696263	0.622631
1616592226	883291048	0.66652	0.675395	0.696263	0.622631
1616592226	893235962	0.66652	0.675395	0.696263	0.622631
1616592226	903264699	0.66652	0.675395	0.696263	0.622631
1616592226	913231816	0.66652	0.675395	0.696263	0.622631
1616592226	923238442	0.66652	0.675395	0.696263	0.622631
1616592226	933230541	0.66652	0.675395	0.696263	0.622631
1616592226	943233453	0.66652	0.675395	0.696263	0.622631
1616592226	953244314	0.66652	0.675395	0.696263	0.622631
1616592226	963233791	0.66652	0.675395	0.696263	0.622631
1616592226	973234248	0.66652	0.675395	0.696263	0.622631
1616592226	983247781	0.66652	0.675395	0.696263	0.622631
1616592226	993230373	0.66652	0.675395	0.696263	0.622631
1616592227	3257113	0.66652	0.675395	0.696263	0.622631
1616592227	13238081	0.66652	0.675395	0.696263	0.622631
1616592227	23239421	0.66652	0.675395	0.696263	0.622631
1616592227	33299180	0.66652	0.675395	0.696263	0.622631
