time_sec	time_nanosec	control_action_0	control_action_1	control_action_2	control_action_3
1608133969	88000890	135.22	121.82	130.15	138.9
1608133969	97952171	137.15	123.57	132.01	140.88
1608133969	107921329	139.09	125.31	133.87	142.87
1608133969	118152477	141.02	127.06	135.74	144.85
1608133969	128199456	142.95	128.8	137.6	146.84
1608133969	138211001	144.89	130.55	139.46	148.82
1608133969	148268390	146.82	132.29	141.32	150.8
1608133969	158273088	148.75	134.04	143.19	152.79
1608133969	168233812	150.69	135.79	145.05	154.77
1608133969	178174730	152.62	137.53	146.91	156.76
1608133969	188141164	154.55	139.28	148.77	158.74
1608133969	198293428	156.49	141.03	150.64	160.73
1608133969	208215564	158.42	142.77	152.5	162.71
1608133969	218256835	160.36	144.52	154.36	164.7
1608133969	228182469	162.29	146.27	156.22	166.68
1608133969	238151618	164.22	148.01	158.09	168.67
1608133969	248168909	166.16	149.76	159.95	170.65
1608133969	258088490	168.09	151.51	161.81	172.64
1608133969	268167129	170.02	153.25	163.68	174.62
1608133969	278125097	171.96	155	165.54	176.61
1608133969	288129911	173.89	156.75	167.4	178.59
1608133969	298079119	175.83	158.5	169.27	180.57
1608133969	308171790	177.76	160.25	171.13	182.56
1608133969	318188848	179.69	161.99	173	184.54
1608133969	328176478	181.63	163.74	174.86	186.53
1608133969	338170140	183.56	165.49	176.72	188.51
1608133969	348161437	185.5	167.24	178.59	190.5
1608133969	358198421	187.43	168.99	180.45	192.48
1608133969	368207462	189.36	170.74	182.31	194.47
1608133969	378199083	191.3	172.48	184.18	196.45
1608133969	388210722	193.23	174.23	186.04	198.44
1608133969	398205352	195.17	175.98	187.91	200.42
1608133969	408194848	197.1	177.73	189.77	202.41
1608133969	418185836	199.04	179.48	191.64	204.39
1608133969	428191733	200.97	181.23	193.5	206.38
1608133969	438220317	202.9	182.98	195.37	208.36
1608133969	448217778	204.84	184.73	197.23	210.35
1608133969	458238273	206.77	186.48	199.09	212.33
1608133969	468122325	208.71	188.23	200.96	214.32
1608133969	478186313	210.64	189.98	202.82	216.3
1608133969	488153842	212.58	191.73	204.69	218.29
1608133969	498112663	214.51	193.48	206.55	220.27
1608133969	508138337	216.45	195.23	208.42	222.26
1608133969	518244732	218.38	196.98	210.28	224.24
1608133969	528181774	220.32	198.73	212.15	226.23
1608133969	538124170	222.25	200.48	214.02	228.21
1608133969	548215708	224.19	202.23	215.88	230.2
1608133969	558562765	226.12	203.98	217.75	232.18
1608133969	568019561	228.05	205.74	219.61	234.17
1608133969	578032300	229.99	207.49	221.48	236.15
1608133969	588210545	231.92	209.24	223.34	238.14
1608133969	598283106	233.86	210.99	225.21	240.12
1608133969	608095443	235.79	212.74	227.07	242.11
1608133969	618294735	237.73	214.49	228.94	244.09
1608133969	628273154	239.66	216.25	230.81	246.08
1608133969	638195376	241.6	218	232.67	248.06
1608133969	648287198	243.54	219.75	234.54	250.05
1608133969	658078221	245.47	221.5	236.4	252.03
1608133969	668215695	247.41	223.26	238.27	254.02
1608133969	678181007	249.34	225.01	240.14	256
1608133969	688147059	251.28	226.76	242	257.99
1608133969	698303948	253.21	228.51	243.87	259.97
1608133969	708179019	255.15	230.27	245.74	261.96
1608133969	718227608	257.08	232.02	247.6	263.94
1608133969	728272755	259.02	233.77	249.47	265.93
1608133969	738095676	260.95	235.53	251.34	267.91
1608133969	748514488	262.89	237.28	253.2	269.9
1608133969	758486944	264.82	239.03	255.07	271.88
1608133969	768214129	266.76	240.79	256.94	273.87
1608133969	777995357	268.7	242.54	258.81	275.85
1608133969	788196743	270.63	244.3	260.67	277.84
1608133969	798243738	272.57	246.05	262.54	279.82
1608133969	808094038	274.5	247.8	264.41	281.81
1608133969	818268061	276.44	249.56	266.27	283.79
1608133969	828082934	278.37	251.31	268.14	285.78
1608133969	838130911	280.31	253.07	270.01	287.76
1608133969	848217083	282.25	254.82	271.88	289.75
1608133969	858175246	284.18	256.58	273.74	291.73
1608133969	868181712	286.12	258.33	275.61	293.72
1608133969	878131407	288.05	260.09	277.48	295.7
1608133969	888160306	289.99	261.84	279.35	297.69
1608133969	898339994	291.93	263.6	281.22	299.68
1608133969	908076946	293.86	265.35	283.08	301.66
1608133969	918299372	295.8	267.11	284.95	303.65
1608133969	928161692	297.74	268.87	286.82	305.63
1608133969	938196866	299.67	270.62	288.69	307.62
1608133969	948265106	301.61	272.38	290.56	309.6
1608133969	958163821	303.54	274.13	292.42	311.59
1608133969	968092777	305.48	275.89	294.29	313.57
1608133969	978368721	307.42	277.65	296.16	315.56
1608133969	988159859	309.35	279.4	298.03	317.54
1608133969	998283073	311.29	281.16	299.9	319.53
1608133970	8243149	313.23	282.92	301.77	321.51
1608133970	18250383	315.16	284.67	303.64	323.5
1608133970	28242127	317.1	286.43	305.51	325.48
1608133970	38037190	319.04	288.19	307.37	327.47
1608133970	48272052	320.97	289.95	309.24	329.46
1608133970	58203864	322.91	291.7	311.11	331.44
1608133970	68166057	324.85	293.46	312.98	333.43
1608133970	78236702	326.78	295.22	314.85	335.41
1608133970	88024153	328.72	296.98	316.72	337.4
1608133970	98317514	330.66	298.73	318.59	339.38
1608133970	108139432	332.59	300.49	320.46	341.37
1608133970	118238181	334.53	302.25	322.33	343.35
1608133970	128175291	336.47	304.01	324.2	345.34
1608133970	138021306	338.4	305.77	326.07	347.32
1608133970	148247864	340.34	307.52	327.94	349.31
1608133970	158185019	342.28	309.28	329.81	351.3
1608133970	168191077	344.21	311.04	331.68	353.28
1608133970	178216733	346.15	312.8	333.55	355.27
1608133970	188163543	348.09	314.56	335.42	357.25
1608133970	198227450	350.03	316.32	337.29	359.24
1608133970	208172171	351.96	318.08	339.16	361.22
1608133970	218194687	353.9	319.84	341.03	363.21
1608133970	228240320	355.84	321.6	342.9	365.19
1608133970	238201098	357.77	323.36	344.77	367.18
1608133970	248247992	359.71	325.12	346.64	369.16
1608133970	258156463	361.65	326.88	348.51	371.15
1608133970	268107571	363.59	328.64	350.38	373.14
1608133970	278327986	365.52	330.4	352.25	375.12
1608133970	288257491	367.46	332.16	354.12	377.11
1608133970	298246588	367.46	332.16	354.12	377.11
1608133970	308242618	367.46	332.16	354.12	377.11
1608133970	318240142	367.46	332.16	354.12	377.11
1608133970	328236751	367.46	332.16	354.12	377.11
1608133970	338168388	367.46	332.16	354.12	377.11
1608133970	348212472	367.46	332.16	354.12	377.11
1608133970	358078178	367.46	332.16	354.12	377.11
1608133970	368165537	367.46	332.16	354.12	377.11
1608133970	378205279	367.46	332.16	354.12	377.11
1608133970	388101753	367.46	332.16	354.12	377.11
1608133970	398301387	367.46	332.16	354.12	377.11
1608133970	408183275	367.46	332.16	354.12	377.11
1608133970	418181988	367.46	332.16	354.12	377.11
1608133970	428159918	367.46	332.16	354.12	377.11
1608133970	438119662	367.46	332.16	354.12	377.11
1608133970	448161730	367.46	332.16	354.12	377.11
1608133970	458185320	367.46	332.16	354.12	377.11
1608133970	468039695	367.46	332.16	354.12	377.11
1608133970	478275043	367.46	332.16	354.12	377.11
1608133970	488258636	367.46	332.16	354.12	377.11
1608133970	498277251	367.46	332.16	354.12	377.11
1608133970	508228240	367.46	332.16	354.12	377.11
1608133970	518226556	367.46	332.16	354.12	377.11
1608133970	528237940	367.46	332.16	354.12	377.11
1608133970	538303971	367.46	332.16	354.12	377.11
1608133970	548176371	367.46	332.16	354.12	377.11
1608133970	558090429	367.46	332.16	354.12	377.11
1608133970	568270177	367.46	332.16	354.12	377.11
1608133970	578156268	367.46	332.16	354.12	377.11
1608133970	588217158	367.46	332.16	354.12	377.11
1608133970	598212005	367.46	332.16	354.12	377.11
1608133970	608182379	367.46	332.16	354.12	377.11
1608133970	618301801	367.46	332.16	354.12	377.11
1608133970	628250733	367.46	332.16	354.12	377.11
1608133970	638154783	367.46	332.16	354.12	377.11
1608133970	648225061	367.46	332.16	354.12	377.11
1608133970	658071007	367.46	332.16	354.12	377.11
1608133970	668154836	367.46	332.16	354.12	377.11
1608133970	678191313	367.46	332.16	354.12	377.11
1608133970	688246425	367.46	332.16	354.12	377.11
1608133970	698203267	367.46	332.16	354.12	377.11
1608133970	708188084	367.46	332.16	354.12	377.11
1608133970	718380811	367.46	332.16	354.12	377.11
1608133970	728152844	367.46	332.16	354.12	377.11
1608133970	738293047	367.46	332.16	354.12	377.11
1608133970	748142799	367.46	332.16	354.12	377.11
1608133970	758251633	367.46	332.16	354.12	377.11
1608133970	768401459	367.46	332.16	354.12	377.11
1608133970	778289595	367.46	332.16	354.12	377.11
1608133970	788254840	367.46	332.16	354.12	377.11
1608133970	798271054	367.46	332.16	354.12	377.11
1608133970	808216811	367.46	332.16	354.12	377.11
1608133970	818286837	367.46	332.16	354.12	377.11
1608133970	828188108	367.46	332.16	354.12	377.11
1608133970	838234491	367.46	332.16	354.12	377.11
1608133970	848041117	367.46	332.16	354.12	377.11
1608133970	858243717	367.46	332.16	354.12	377.11
1608133970	868393304	367.46	332.16	354.12	377.11
1608133970	878267029	367.46	332.16	354.12	377.11
1608133970	888120482	367.46	332.16	354.12	377.11
1608133970	898227530	367.46	332.16	354.12	377.11
1608133970	908282610	367.46	332.16	354.12	377.11
