time_sec	time_nanosec	ref_pose_mod_0	ref_pose_mod_1	ref_pose_mod_2	ref_pose_mod_3
1615898007	30806352	0.67364	0.687589	0.69081	0.65936
1615898007	39269866	0.67364	0.687589	0.69081	0.65936
1615898007	48643791	0.67364	0.687589	0.69081	0.65936
1615898007	58635250	0.67364	0.687589	0.69081	0.65936
1615898007	68784628	0.67364	0.687589	0.69081	0.65936
1615898007	78824772	0.67364	0.687589	0.69081	0.65936
1615898007	88843219	0.67364	0.687589	0.69081	0.65936
1615898007	98752038	0.67364	0.687589	0.69081	0.65936
1615898007	108508561	0.67364	0.687589	0.69081	0.65936
1615898007	118720063	0.67364	0.687589	0.69081	0.65936
1615898007	128919087	0.67364	0.687589	0.69081	0.65936
1615898007	138827390	0.67364	0.687589	0.69081	0.65936
1615898007	148685129	0.67364	0.687589	0.69081	0.65936
1615898007	158818819	0.67364	0.687589	0.69081	0.65936
1615898007	168772104	0.67364	0.687589	0.69081	0.65936
1615898007	178997057	0.67364	0.687589	0.69081	0.65936
1615898007	189064461	0.67364	0.687589	0.69081	0.65936
1615898007	199118027	0.67364	0.687589	0.69081	0.65936
1615898007	209259051	0.67364	0.687589	0.69081	0.65936
1615898007	219675186	0.67364	0.687589	0.69081	0.65936
1615898007	230241784	0.67364	0.687589	0.69081	0.65936
1615898007	241188682	0.67364	0.687589	0.69081	0.65936
1615898007	251275955	0.67364	0.687589	0.69081	0.65936
1615898007	261439605	0.67364	0.687589	0.69081	0.65936
1615898007	271155251	0.67364	0.687589	0.69081	0.65936
1615898007	281147511	0.67364	0.687589	0.69081	0.65936
1615898007	291824148	0.67364	0.687589	0.69081	0.65936
1615898007	301055981	0.67364	0.687589	0.69081	0.65936
1615898007	311221192	0.67364	0.687589	0.69081	0.65936
1615898007	321140308	0.67364	0.687589	0.69081	0.65936
1615898007	331291315	0.67364	0.687589	0.69081	0.65936
1615898007	341295939	0.67364	0.687589	0.69081	0.65936
1615898007	351168424	0.67364	0.687589	0.69081	0.65936
1615898007	361183756	0.67364	0.687589	0.69081	0.65936
1615898007	371592143	0.67364	0.687589	0.69081	0.65936
1615898007	381415683	0.67364	0.687589	0.69081	0.65936
1615898007	391167487	0.67364	0.687589	0.69081	0.65936
1615898007	401196220	0.67364	0.687589	0.69081	0.65936
1615898007	411032733	0.67364	0.687589	0.69081	0.65936
1615898007	421082965	0.67364	0.687589	0.69081	0.65936
1615898007	431271883	0.67364	0.687589	0.69081	0.65936
1615898007	441488555	0.67364	0.687589	0.69081	0.65936
1615898007	450947839	0.67364	0.687589	0.69081	0.65936
1615898007	461204419	0.67364	0.687589	0.69081	0.65936
1615898007	471236971	0.67364	0.687589	0.69081	0.65936
1615898007	481162571	0.67364	0.687589	0.69081	0.65936
1615898007	491331412	0.67364	0.687589	0.69081	0.65936
1615898007	501682430	0.67364	0.687589	0.69081	0.65936
1615898007	511257607	0.67364	0.687589	0.69081	0.65936
1615898007	520958852	0.67364	0.687589	0.69081	0.65936
1615898007	531261020	0.67364	0.687589	0.69081	0.65936
1615898007	541956631	0.67364	0.687589	0.69081	0.65936
1615898007	551125310	0.67364	0.687589	0.69081	0.65936
1615898007	561205344	0.67364	0.687589	0.69081	0.65936
1615898007	571139355	0.67364	0.687589	0.69081	0.65936
1615898007	581183262	0.67364	0.687589	0.69081	0.65936
1615898007	591596439	0.67364	0.687589	0.69081	0.65936
1615898007	601028065	0.67364	0.687589	0.69081	0.65936
1615898007	611252494	0.67364	0.687589	0.69081	0.65936
1615898007	621193819	0.67364	0.687589	0.69081	0.65936
1615898007	631667492	0.67364	0.687589	0.69081	0.65936
1615898007	641090258	0.67364	0.687589	0.69081	0.65936
1615898007	651367575	0.67364	0.687589	0.69081	0.65936
1615898007	661176195	0.67364	0.687589	0.69081	0.65936
