time_sec	time_nanosec	jac_det
1616424687	834659474	0.0274393
1616424687	843991489	0.0274475
1616424687	853951616	0.0274439
1616424687	864010296	0.0274444
1616424687	874013427	0.0274414
1616424687	885436097	0.0274427
1616424687	894497130	0.0274344
1616424687	904562880	0.0274342
1616424687	914712473	0.0274261
1616424687	927306826	0.0274283
1616424687	934969366	0.0274282
1616424687	947149053	0.0274355
1616424687	954828174	0.0274319
1616424687	964928709	0.0274307
1616424687	977299122	0.0274233
1616424687	984913272	0.0274309
1616424687	997298283	0.0274325
1616424688	4922715	0.0274329
1616424688	15033681	0.0274333
1616424688	24807823	0.027447
1616424688	34876108	0.0274416
1616424688	44824360	0.0274418
1616424688	54889188	0.0274431
1616424688	67171696	0.0274444
1616424688	74827682	0.0274448
1616424688	87213678	0.0274358
1616424688	94844674	0.0274324
1616424688	104596649	0.0274315
1616424688	116169035	0.0274297
1616424688	126133781	0.0274334
1616424688	134615903	0.0274249
1616424688	144754107	0.0274265
1616424688	154525979	0.0274259
1616424688	164535329	0.0274301
1616424688	174462570	0.0274315
1616424688	184730059	0.0274354
1616424688	194578343	0.0274339
1616424688	204581227	0.0274335
1616424688	216217827	0.0274345
1616424688	224598174	0.0274337
1616424688	236231582	0.0274366
1616424688	246491201	0.0274502
1616424688	254423623	0.0274529
1616424688	266265282	0.0274432
1616424688	276132636	0.0274448
1616424688	284603489	0.0274385
1616424688	294544595	0.0274334
1616424688	304530575	0.0274316
1616424688	314609341	0.0274278
1616424688	324477760	0.0274255
1616424688	334546793	0.0274305
1616424688	344601610	0.0274279
1616424688	354512252	0.0274248
1616424688	364564902	0.0274235
1616424688	374474974	0.0274265
1616424688	384504590	0.0274304
1616424688	394533234	0.0274306
1616424688	406175854	0.0274322
1616424688	416214017	0.0274403
1616424688	424518052	0.027432
1616424688	434551643	0.0274421
1616424688	444476540	0.0274406
1616424688	454618996	0.0274355
1616424688	464524569	0.0274391
1616424688	474426391	0.0274336
1616424688	484699335	0.0274389
1616424688	494677950	0.0274318
1616424688	506268707	0.0274297
1616424688	514531139	0.0274377
1616424688	524489673	0.0274335
1616424688	534682392	0.0274277
1616424688	544609212	0.0274269
1616424688	554465924	0.0274273
1616424688	564590604	0.0274309
1616424688	576470182	0.0274361
1616424688	584524739	0.0274305
1616424688	594556234	0.0274274
1616424688	606337419	0.0274378
1616424688	614433675	0.0274432
1616424688	624623416	0.0274367
1616424688	634610729	0.0274456
1616424688	644705534	0.027445
1616424688	654665712	0.0274401
1616424688	664452251	0.0274399
1616424688	674680686	0.0274398
1616424688	684585477	0.0274319
1616424688	696970265	0.0274389
1616424688	704843769	0.0274359
1616424688	714600561	0.0274375
1616424688	724511332	0.0274242
1616424688	734602201	0.0274299
1616424688	744736172	0.0274346
1616424688	754542388	0.0274279
1616424688	764684504	0.0274337
1616424688	774528262	0.0274267
1616424688	786217432	0.0274335
1616424688	794863596	0.0274366
1616424688	804641017	0.0274334
1616424688	814430680	0.0274373
1616424688	824659173	0.027446
1616424688	834526326	0.0274377
1616424688	844528863	0.0274398
1616424688	854546965	0.0274355
1616424688	864535077	0.0274452
1616424688	874620846	0.0274344
1616424688	884816373	0.0274388
1616424688	894464487	0.0274319
1616424688	904519830	0.0274344
1616424688	916224971	0.0274259
1616424688	924482160	0.0274263
1616424688	934560006	0.0274276
1616424688	944646297	0.027429
1616424688	954600472	0.0274372
1616424688	964531323	0.0274341
1616424688	974516951	0.0274372
1616424688	984712406	0.0274285
1616424688	994736291	0.0274345
1616424689	4602908	0.0274348
1616424689	14516109	0.0274313
1616424689	26076427	0.0274408
1616424689	36209535	0.0274347
1616424689	44639011	0.0274427
1616424689	54625412	0.027439
1616424689	64522256	0.0274364
1616424689	74642047	0.0274325
1616424689	84638077	0.0274342
1616424689	96188031	0.0274279
1616424689	104733522	0.0274351
1616424689	114660434	0.0274275
1616424689	124447809	0.0274307
1616424689	134577197	0.0274316
1616424689	144846232	0.0274268
1616424689	154518506	0.0274402
1616424689	164586578	0.0274332
1616424689	174647187	0.02743
1616424689	184539121	0.0274314
1616424689	194688153	0.0274288
1616424689	204630458	0.0274331
1616424689	214574907	0.0274366
1616424689	226671481	0.0274326
1616424689	234512480	0.0274317
1616424689	244606928	0.0274332
1616424689	254653566	0.0274368
1616424689	264667306	0.0274354
1616424689	274681454	0.0274221
1616424689	284493621	0.0274375
1616424689	294713147	0.0274269
1616424689	304577648	0.0274209
1616424689	314500158	0.0274238
1616424689	326315587	0.027429
1616424689	334523579	0.0274291
1616424689	344520851	0.0274346
1616424689	354644784	0.0274364
1616424689	364609511	0.0274371
1616424689	374529964	0.0274326
1616424689	384583811	0.0274243
1616424689	396233567	0.027435
1616424689	404638839	0.0274264
1616424689	414569953	0.0274405
1616424689	424587228	0.0274345
1616424689	436348469	0.027427
1616424689	444663354	0.027434
1616424689	456198278	0.0274269
1616424689	464472006	0.0274346
1616424689	474460025	0.0274242
1616424689	484636731	0.0274252
1616424689	496177091	0.0274291
1616424689	504774642	0.0274316
1616424689	514641300	0.027427
1616424689	524458374	0.0274256
1616424689	536328878	0.0274263
1616424689	544635595	0.0274296
1616424689	554569855	0.0274293
1616424689	564681640	0.0274283
1616424689	574627524	0.0274254
1616424689	584631758	0.0274309
1616424689	594494511	0.0274284
1616424689	604594553	0.027432
1616424689	614617883	0.0274299
1616424689	624552379	0.027426
1616424689	634593578	0.0274307
1616424689	646466853	0.0274333
1616424689	654484190	0.02744
1616424689	666532461	0.027421
1616424689	674661748	0.0274272
1616424689	684557189	0.0274253
1616424689	694849653	0.027431
1616424689	704540919	0.0274268
1616424689	714508856	0.0274333
1616424689	724563056	0.0274346
1616424689	734480182	0.0274283
1616424689	744546111	0.0274372
1616424689	754587375	0.0274223
1616424689	766279533	0.0274403
1616424689	774459705	0.027437
1616424689	784558827	0.0274338
1616424689	794553131	0.0274379
1616424689	804506614	0.0274382
1616424689	814624508	0.0274358
1616424689	824627146	0.0274372
1616424689	836277917	0.027436
1616424689	844503931	0.027434
1616424689	854577944	0.0274333
1616424689	866133704	0.0274243
1616424689	875117390	0.0274249
1616424689	884468918	0.0274275
1616424689	894674325	0.0274245
1616424689	906160739	0.0274236
1616424689	914628798	0.027432
1616424689	924652085	0.0274395
1616424689	934403153	0.0274369
1616424689	944661232	0.0274388
1616424689	954470255	0.027435
1616424689	964550575	0.0274274
1616424689	974570348	0.0274297
1616424689	984545443	0.0274268
1616424689	996208268	0.0274345
1616424690	4638921	0.0274348
1616424690	14561919	0.0274303
1616424690	24462382	0.0274307
1616424690	34528776	0.0274344
1616424690	46336039	0.0274229
1616424690	54645565	0.0274201
1616424690	64678176	0.0274328
1616424690	74653336	0.0274251
1616424690	84541448	0.0274275
1616424690	94629119	0.0274232
1616424690	104497557	0.0274345
1616424690	114590247	0.0274264
1616424690	124514382	0.0274231
1616424690	134634229	0.0274285
1616424690	146203694	0.0274335
1616424690	156309022	0.0274292
1616424690	164700629	0.0274313
1616424690	176199963	0.0274401
1616424690	184513033	0.0274261
1616424690	194676063	0.0274409
1616424690	204666524	0.0274291
1616424690	214527893	0.0274287
1616424690	224600682	0.0274257
1616424690	234554969	0.0274285
1616424690	244507244	0.0274324
1616424690	254556846	0.027426
1616424690	264638885	0.0274259
1616424690	276129708	0.0274284
1616424690	284660217	0.0274262
1616424690	294749294	0.0274375
1616424690	304569109	0.0274378
1616424690	314595660	0.0274301
1616424690	324563364	0.027428
1616424690	334523216	0.0274389
1616424690	344732789	0.0274255
1616424690	356295047	0.0274253
1616424690	366080437	0.0274408
1616424690	374554750	0.0274311
1616424690	384565430	0.0274266
1616424690	394695864	0.0274241
1616424690	404727140	0.0274269
1616424690	414527611	0.0274219
1616424690	424452427	0.0274303
1616424690	434849361	0.0274266
1616424690	444714174	0.0274316
1616424690	454623130	0.0274257
1616424690	466627404	0.0274307
1616424690	474590050	0.0274353
1616424690	484599259	0.0274307
1616424690	496441974	0.0274219
1616424690	504497435	0.0274266
1616424690	514462589	0.0274209
1616424690	524625844	0.0274224
1616424690	534466449	0.0274239
1616424690	544575017	0.0274186
1616424690	554489942	0.0274317
1616424690	564553429	0.0274282
1616424690	574549416	0.0274296
1616424690	584621118	0.02743
1616424690	596838927	0.0274224
1616424690	604635056	0.0274311
1616424690	614759467	0.0274237
1616424690	624545781	0.0274294
1616424690	634591326	0.0274324
1616424690	644530001	0.0274297
1616424690	654633377	0.0274334
1616424690	664610805	0.0274301
1616424690	676171664	0.0274303
1616424690	686400366	0.0274348
1616424690	694704532	0.0274289
1616424690	704598115	0.0274314
1616424690	714536320	0.0274257
1616424690	724552946	0.0274329
1616424690	734494959	0.0274268
1616424690	744608489	0.0274238
1616424690	754534164	0.0274269
1616424690	764625828	0.0274295
1616424690	774637272	0.0274227
1616424690	784615535	0.027423
1616424690	794572256	0.027425
1616424690	804715970	0.0274255
1616424690	816278407	0.0274344
1616424690	824637180	0.0274288
1616424690	834647090	0.0274288
