time_sec	time_nanosec	control_action_0	control_action_1	control_action_2	control_action_3
1614787418	695064749	0.125	0	-0.0375	0
1614787418	706289080	0.125	0	-0.0375	0
1614787418	715630732	0.125	0	-0.0375	0
1614787418	725722316	0.125	0	-0.0375	0
1614787418	735055530	0.125	0	-0.0375	0
1614787418	745858945	0.125	0	-0.0375	0
1614787418	755925291	0.125	0	-0.0375	0
1614787418	766024333	0.125	0	-0.0375	0
1614787418	775900309	0.125	0	-0.0375	0
1614787418	785676259	0.125	0	-0.0375	0
1614787418	795022610	0.125	0	-0.0375	0
1614787418	805791365	0.125	0	-0.0375	0
1614787418	815836558	0.125	0	-0.0375	0
1614787418	825618350	0.125	0	-0.0375	0
1614787418	835588925	0.125	0	-0.0375	0
1614787418	845542647	0.125	0	-0.0375	0
1614787418	855547541	0.125	0	-0.0375	0
1614787418	865453846	0.125	0	-0.0375	0
1614787418	875929558	0.125	0	-0.0375	0
1614787418	885517156	0.125	0	-0.0375	0
1614787418	895520791	0.125	0	-0.0375	0
1614787418	905520100	0.125	0	-0.0375	0
1614787418	915593404	0.125	0	-0.0375	0
1614787418	925400987	0.125	0	-0.0375	0
1614787418	935548944	0.125	0	-0.0375	0
1614787418	945411096	0.125	0	-0.0375	0
1614787418	955599521	0.125	0	-0.0375	0
1614787418	965744268	0.125	0	-0.0375	0
1614787418	975686442	0.125	0	-0.0375	0
1614787418	985515960	0.125	0	-0.0375	0
1614787418	995623853	0.125	0	-0.0375	0
1614787419	5736347	0.125	0	-0.0375	0
1614787419	15658626	0.125	0	-0.0375	0
1614787419	25594922	0.125	0	-0.0375	0
1614787419	35824773	0.125	0	-0.0375	0
1614787419	45457394	0.125	0	-0.0375	0
1614787419	55433677	0.125	0	-0.0375	0
1614787419	65573314	0.125	0	-0.0375	0
1614787419	75455674	0.125	0	-0.0375	0
1614787419	85484316	0.125	0	-0.0375	0
1614787419	95545832	0.125	0	-0.0375	0
1614787419	105514064	0.125	0	-0.0375	0
1614787419	115511317	0.125	0	-0.0375	0
1614787419	125520706	0.125	0	-0.0375	0
1614787419	135620088	0.125	0	-0.0375	0
1614787419	145436011	0.125	0	-0.0375	0
1614787419	155644466	0.125	0	-0.0375	0
1614787419	165907530	0.125	0	-0.0375	0
1614787419	175829523	0.125	0	-0.0375	0
1614787419	185677529	0.125	0	-0.0375	0
1614787419	195392164	0.125	0	-0.0375	0
1614787419	205542557	0.125	0	-0.0375	0
1614787419	215633497	0.125	0	-0.0375	0
1614787419	225469939	0.125	0	-0.0375	0
1614787419	235388789	0.125	0	-0.0375	0
1614787419	245624839	0.125	0	-0.0375	0
1614787419	256103363	0.125	0	-0.0375	0
1614787419	265921215	0.125	0	-0.0375	0
1614787419	275749219	0.125	0	-0.0375	0
1614787419	285730586	0.125	0	-0.0375	0
1614787419	295655911	0.125	0	-0.0375	0
1614787419	305616622	0.125	0	-0.0375	0
1614787419	315594631	0.125	0	-0.0375	0
1614787419	325453346	0.125	0	-0.0375	0
1614787419	335775989	0.125	0	-0.0375	0
1614787419	345399932	0.125	0	-0.0375	0
1614787419	356568334	0.125	0	-0.0375	0
1614787419	366091667	0.125	0	-0.0375	0
1614787419	376324640	0.125	0	-0.0375	0
1614787419	386440930	0.125	0	-0.0375	0
1614787419	395781914	0.125	0	-0.0375	0
1614787419	405685231	0.125	0	-0.0375	0
1614787419	415475797	0.125	0	-0.0375	0
1614787419	425760365	0.125	0	-0.0375	0
1614787419	436475299	0.125	0	-0.0375	0
1614787419	445463164	0.125	0	-0.0375	0
1614787419	455481895	0.125	0	-0.0375	0
1614787419	465558524	0.125	0	-0.0375	0
1614787419	475693312	0.125	0	-0.0375	0
1614787419	486048536	0.125	0	-0.0875	0
1614787419	495485166	0.125	0	-0.0875	0
1614787419	505630429	0.125	0	-0.05	0
1614787419	515578393	0.125	0	-0.05	0
1614787419	525533103	0.125	0	-0.05	0
1614787419	535498220	0.125	0	-0.05	0
1614787419	545380937	0.125	0	-0.05	0
1614787419	555503522	0.125	0	-0.05	0
1614787419	565590118	0.125	0	-0.05	0
1614787419	575454392	0.125	0	-0.05	0
1614787419	585589263	0.125	0	-0.05	0
1614787419	595437896	0.125	0	-0.05	0
1614787419	605548220	0.125	0	-0.05	0
1614787419	615682168	0.125	0	-0.05	0
1614787419	625517784	0.125	0	-0.05	0
1614787419	635401622	0.125	0	-0.05	0
1614787419	645561678	0.125	0	-0.05	0
1614787419	655539814	0.125	0	-0.05	0
1614787419	665427686	0.125	0	-0.05	0
1614787419	675455390	0.125	0	-0.05	0
