time_sec	time_nanosec	x_mocap_0	x_mocap_1	x_mocap_2	x_mocap_3
1614787418	744494661	0.0270334	0.611483	0.127635	-0.222217
1614787418	754622058	0.0270439	0.611473	0.127629	-0.222206
1614787418	764590174	0.0269845	0.611482	0.127684	-0.222164
1614787418	774637094	0.0270623	0.611491	0.127675	-0.22216
1614787418	784660255	0.0270266	0.611476	0.127661	-0.222221
1614787418	794594970	0.0270266	0.611476	0.127661	-0.222221
1614787418	804595033	0.0273908	0.61163	0.128201	-0.222206
1614787418	814561505	0.027048	0.611482	0.127674	-0.222219
1614787418	824509397	0.0273469	0.611591	0.128126	-0.222262
1614787418	834487945	0.0270481	0.611493	0.127698	-0.222199
1614787418	844581643	0.0270164	0.61146	0.127596	-0.222185
1614787418	854585585	0.0270486	0.61149	0.127693	-0.222219
1614787418	864478816	0.0270229	0.61148	0.127648	-0.222226
1614787418	874633607	0.0270739	0.611505	0.127721	-0.222178
1614787418	884570271	0.0270223	0.611468	0.1276	-0.222185
1614787418	894539423	0.0270303	0.611479	0.127608	-0.22223
1614787418	904565225	0.0270204	0.611498	0.127721	-0.222197
1614787418	914595053	0.0270679	0.611504	0.127703	-0.22223
1614787418	924517464	0.0270249	0.611483	0.127651	-0.222151
1614787418	934542088	0.0270271	0.611467	0.127612	-0.2223
1614787418	944481011	0.0270397	0.611476	0.127625	-0.222198
1614787418	954588071	0.0270592	0.611485	0.127688	-0.222199
1614787418	964537395	0.0273621	0.611604	0.128157	-0.222183
1614787418	974535471	0.0270537	0.611472	0.127619	-0.222267
1614787418	984521701	0.0270763	0.611493	0.127668	-0.222244
1614787418	994599643	0.0270425	0.611507	0.127748	-0.222194
1614787419	4574454	0.0273447	0.611626	0.12821	-0.222196
1614787419	14510883	0.0270608	0.611484	0.127665	-0.222213
1614787419	24495737	0.0273377	0.611599	0.128148	-0.222179
1614787419	34617662	0.0270935	0.611505	0.127735	-0.22221
1614787419	44552517	0.0270523	0.611502	0.127724	-0.222183
1614787419	54550315	0.0270453	0.611476	0.127641	-0.222207
1614787419	64598559	0.0270714	0.611495	0.127655	-0.222194
1614787419	74535230	0.0270661	0.611487	0.127662	-0.222261
1614787419	84539980	0.0270367	0.611493	0.127705	-0.222232
1614787419	94556053	0.0270315	0.611482	0.127631	-0.222245
1614787419	104551287	0.027032	0.611514	0.127766	-0.222204
1614787419	114531311	0.0270519	0.61149	0.127657	-0.222257
1614787419	124537778	0.027066	0.611504	0.127704	-0.222264
1614787419	134558099	0.0270351	0.611485	0.127676	-0.222236
1614787419	144537610	0.027012	0.611481	0.127634	-0.222262
1614787419	154692022	0.0270331	0.611501	0.127672	-0.222243
1614787419	164576312	0.0270366	0.611475	0.127595	-0.222274
1614787419	174623540	0.0270546	0.611536	0.12778	-0.222253
1614787419	184659117	0.02703	0.611489	0.127654	-0.222213
1614787419	194474352	0.0270297	0.611521	0.127731	-0.222258
1614787419	204594817	0.027036	0.611478	0.127648	-0.222224
1614787419	214613839	0.0270214	0.611489	0.127669	-0.222241
1614787419	224544390	0.0270443	0.611489	0.12764	-0.222284
1614787419	234507625	0.0270001	0.611489	0.127651	-0.222225
1614787419	244650137	0.0270052	0.61146	0.127595	-0.222252
1614787419	254646417	0.027046	0.611496	0.127642	-0.222266
1614787419	264584725	0.0270444	0.611488	0.127665	-0.222265
1614787419	274693714	0.0270247	0.611477	0.12762	-0.222228
1614787419	284574549	0.0273498	0.611599	0.12811	-0.222241
1614787419	294521495	0.0270156	0.611483	0.127627	-0.222258
1614787419	304631172	0.0270468	0.611488	0.127664	-0.222466
1614787419	314574882	0.0270521	0.611484	0.12762	-0.222536
1614787419	324507495	0.0270406	0.611485	0.127641	-0.222514
1614787419	334603781	0.027378	0.611609	0.128149	-0.222488
