time_sec	time_nanosec	ref_pose_0	ref_pose_1	ref_pose_2	ref_pose_3
1611760663	504881060	0.821648	0.832073	0.823637	0.788794
1611760663	514899762	0.821648	0.832073	0.823637	0.788794
1611760663	525020124	0.821648	0.832073	0.823637	0.788794
1611760663	534852019	0.821648	0.832073	0.823637	0.788794
1611760663	544875634	0.821648	0.832073	0.823637	0.788794
1611760663	554841470	0.821648	0.832073	0.823637	0.788794
1611760663	564873330	0.821648	0.832073	0.823637	0.788794
1611760663	574920906	0.821648	0.832073	0.823637	0.788794
1611760663	584850838	0.821648	0.832073	0.823637	0.788794
1611760663	594805953	0.821648	0.832073	0.823637	0.788794
1611760663	604887794	0.821648	0.832073	0.823637	0.788794
1611760663	614867751	0.821648	0.832073	0.823637	0.788794
1611760663	625003684	0.821648	0.832073	0.823637	0.788794
1611760663	634809237	0.821648	0.832073	0.823637	0.788794
1611760663	644903258	0.821648	0.832073	0.823637	0.788794
1611760663	654928736	0.821648	0.832073	0.823637	0.788794
1611760663	664877594	0.821648	0.832073	0.823637	0.788794
1611760663	674871603	0.821648	0.832073	0.823637	0.788794
1611760663	684852481	0.821648	0.832073	0.823637	0.788794
1611760663	694831114	0.821648	0.832073	0.823637	0.788794
1611760663	704878460	0.821648	0.832073	0.823637	0.788794
1611760663	714854960	0.821648	0.832073	0.823637	0.788794
1611760663	724853307	0.821648	0.832073	0.823637	0.788794
1611760663	734853678	0.821648	0.832073	0.823637	0.788794
1611760663	744899915	0.821648	0.832073	0.823637	0.788794
1611760663	754917911	0.821648	0.832073	0.823637	0.788794
1611760663	764912143	0.821648	0.832073	0.823637	0.788794
1611760663	774834589	0.821648	0.832073	0.823637	0.788794
1611760663	784846107	0.821648	0.832073	0.823637	0.788794
1611760663	794884073	0.821648	0.832073	0.823637	0.788794
1611760663	804816839	0.821648	0.832073	0.823637	0.788794
1611760663	814876338	0.821648	0.832073	0.823637	0.788794
1611760663	824873714	0.821648	0.832073	0.823637	0.788794
1611760663	834914277	0.821648	0.832073	0.823637	0.788794
1611760663	844865810	0.821648	0.832073	0.823637	0.788794
1611760663	854931590	0.821648	0.832073	0.823637	0.788794
1611760663	864854135	0.821648	0.832073	0.823637	0.788794
1611760663	875004098	0.821648	0.832073	0.823637	0.788794
1611760663	884844462	0.821648	0.832073	0.823637	0.788794
1611760663	894882816	0.821648	0.832073	0.823637	0.788794
1611760663	904987838	0.821648	0.832073	0.823637	0.788794
1611760663	914830441	0.821648	0.832073	0.823637	0.788794
1611760663	924972780	0.821648	0.832073	0.823637	0.788794
1611760663	934822606	0.821648	0.832073	0.823637	0.788794
1611760663	944915184	0.821648	0.832073	0.823637	0.788794
1611760663	954834269	0.821648	0.832073	0.823637	0.788794
1611760663	964931845	0.821648	0.832073	0.823637	0.788794
1611760663	974854720	0.821648	0.832073	0.823637	0.788794
1611760663	984831695	0.821648	0.832073	0.823637	0.788794
1611760663	994861303	0.821648	0.832073	0.823637	0.788794
1611760664	4937468	0.821648	0.832073	0.823637	0.788794
1611760664	14841177	0.821648	0.832073	0.823637	0.788794
1611760664	24918154	0.821648	0.832073	0.823637	0.788794
1611760664	34850721	0.821648	0.832073	0.823637	0.788794
1611760664	44986386	0.821648	0.832073	0.823637	0.788794
1611760664	54933072	0.821648	0.832073	0.823637	0.788794
1611760664	64903715	0.821648	0.832073	0.823637	0.788794
1611760664	74882413	0.821648	0.832073	0.823637	0.788794
1611760664	84890805	0.821648	0.832073	0.823637	0.788794
1611760664	94828666	0.821648	0.832073	0.823637	0.788794
1611760664	104866334	0.821648	0.832073	0.823637	0.788794
1611760664	114847739	0.821648	0.832073	0.823637	0.788794
1611760664	124888677	0.821648	0.832073	0.823637	0.788794
1611760664	134918728	0.821648	0.832073	0.823637	0.788794
1611760664	144884808	0.821648	0.832073	0.823637	0.788794
1611760664	154888112	0.821648	0.832073	0.823637	0.788794
1611760664	164932196	0.821648	0.832073	0.823637	0.788794
1611760664	174870350	0.821648	0.832073	0.823637	0.788794
1611760664	184865664	0.821648	0.832073	0.823637	0.788794
1611760664	194930202	0.821648	0.832073	0.823637	0.788794
1611760664	204927817	0.821648	0.832073	0.823637	0.788794
1611760664	214816025	0.821648	0.832073	0.823637	0.788794
1611760664	224860496	0.821648	0.832073	0.823637	0.788794
1611760664	235031111	0.821648	0.832073	0.823637	0.788794
1611760664	244897230	0.821648	0.832073	0.823637	0.788794
1611760664	254848289	0.821648	0.832073	0.823637	0.788794
1611760664	264836246	0.821648	0.832073	0.823637	0.788794
1611760664	274904035	0.821648	0.832073	0.823637	0.788794
1611760664	284879612	0.821648	0.832073	0.823637	0.788794
1611760664	294852390	0.821648	0.832073	0.823637	0.788794
1611760664	304857150	0.821648	0.832073	0.823637	0.788794
1611760664	314933520	0.821648	0.832073	0.823637	0.788794
1611760664	324856183	0.821648	0.832073	0.823637	0.788794
1611760664	334880313	0.821648	0.832073	0.823637	0.788794
1611760664	344950491	0.821648	0.832073	0.823637	0.788794
1611760664	354875672	0.821648	0.832073	0.823637	0.788794
1611760664	364858033	0.821648	0.832073	0.823637	0.788794
1611760664	375012630	0.821648	0.832073	0.823637	0.788794
1611760664	384834092	0.821648	0.832073	0.823637	0.788794
1611760664	394917587	0.821648	0.832073	0.823637	0.788794
1611760664	404873506	0.821648	0.832073	0.823637	0.788794
1611760664	414980617	0.821648	0.832073	0.823637	0.788794
1611760664	424905082	0.821648	0.832073	0.823637	0.788794
1611760664	434855603	0.821648	0.832073	0.823637	0.788794
1611760664	444936551	0.821648	0.832073	0.823637	0.788794
1611760664	454850016	0.821648	0.832073	0.823637	0.788794
1611760664	464938364	0.821648	0.832073	0.823637	0.788794
1611760664	474908160	0.821648	0.832073	0.823637	0.788794
1611760664	484889369	0.821648	0.832073	0.823637	0.788794
1611760664	495061025	0.821648	0.832073	0.823637	0.788794
1611760664	504854896	0.821648	0.832073	0.823637	0.788794
1611760664	514895228	0.821648	0.832073	0.823637	0.788794
1611760664	524996996	0.821648	0.832073	0.823637	0.788794
1611760664	534892485	0.821648	0.832073	0.823637	0.788794
1611760664	544871040	0.821648	0.832073	0.823637	0.788794
1611760664	554839789	0.821648	0.832073	0.823637	0.788794
1611760664	564863241	0.821648	0.832073	0.823637	0.788794
1611760664	574884383	0.821648	0.832073	0.823637	0.788794
1611760664	585090067	0.821648	0.832073	0.823637	0.788794
1611760664	594866820	0.821648	0.832073	0.823637	0.788794
1611760664	604870575	0.821648	0.832073	0.823637	0.788794
1611760664	614854153	0.821648	0.832073	0.823637	0.788794
1611760664	624873207	0.821648	0.832073	0.823637	0.788794
1611760664	634862356	0.821648	0.832073	0.823637	0.788794
1611760664	644994467	0.821648	0.832073	0.823637	0.788794
1611760664	654835020	0.821648	0.832073	0.823637	0.788794
1611760664	664880276	0.821648	0.832073	0.823637	0.788794
1611760664	674897335	0.821648	0.832073	0.823637	0.788794
1611760664	684877959	0.821648	0.832073	0.823637	0.788794
1611760664	694846519	0.821648	0.832073	0.823637	0.788794
1611760664	704894084	0.821648	0.832073	0.823637	0.788794
1611760664	714871992	0.821648	0.832073	0.823637	0.788794
1611760664	724899859	0.821648	0.832073	0.823637	0.788794
1611760664	734872479	0.821648	0.832073	0.823637	0.788794
1611760664	744882323	0.821648	0.832073	0.823637	0.788794
1611760664	754894710	0.821648	0.832073	0.823637	0.788794
1611760664	764864642	0.821648	0.832073	0.823637	0.788794
1611760664	774843277	0.821648	0.832073	0.823637	0.788794
